행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,동해시,2013,95143.0,22.0,14.0,727.0,665.0,479.0,257.0,18273.0,강원특별자치도 동해시
강원특별자치도,동해시,2014,94562.0,22.0,14.0,703.0,600.0,481.0,244.0,17512.0,강원특별자치도 동해시
강원특별자치도,동해시,2015,93895.0,22.0,14.0,667.0,681.0,475.0,201.0,16903.0,강원특별자치도 동해시
강원특별자치도,동해시,2016,93297.0,18.0,14.0,662.0,640.0,447.0,194.0,16231.0,강원특별자치도 동해시
강원특별자치도,동해시,2017,92851.0,17.0,14.0,561.0,625.0,419.0,218.0,15703.0,강원특별자치도 동해시
강원특별자치도,동해시,2018,91272.0,17.0,14.0,472.0,731.0,375.0,190.0,15142.0,강원특별자치도 동해시
강원특별자치도,동해시,2019,90522.0,17.0,14.0,422.0,624.0,382.0,254.0,14536.0,강원특별자치도 동해시
강원특별자치도,동해시,2020,90593.0,17.0,14.0,404.0,702.0,327.0,213.0,14221.0,강원특별자치도 동해시
강원특별자치도,동해시,2021,90081.0,17.0,14.0,422.0,680.0,339.0,187.0,13709.0,강원특별자치도 동해시
강원특별자치도,동해시,2022,89426.0,15.0,14.0,374.0,856.0,300.0,184.0,13210.0,강원특별자치도 동해시
강원특별자치도,동해시,2023,88771.0,14.0,14.0,337.0,767.0,292.0,180.0,12756.0,강원특별자치도 동해시
강원특별자치도,동해시,2024,87390.0,13.0,14.0,304.0,870.0,265.0,176.0,12307.0,강원특별자치도 동해시
강원특별자치도,동해시,2025,86009.0,12.0,14.0,272.0,831.0,250.0,172.0,11874.0,강원특별자치도 동해시
강원특별자치도,동해시,2026,84628.0,11.0,14.0,241.0,896.0,228.0,168.0,11441.0,강원특별자치도 동해시
강원특별자치도,동해시,2027,83212.0,10.0,14.0,210.0,883.0,211.0,164.0,11008.0,강원특별자치도 동해시
강원특별자치도,동해시,2028,81821.0,9.0,14.0,179.0,928.0,191.0,160.0,10576.0,강원특별자치도 동해시
강원특별자치도,동해시,2029,80413.0,8.0,14.0,148.0,929.0,173.0,156.0,10144.0,강원특별자치도 동해시
강원특별자치도,동해시,2030,79023.0,7.0,14.0,117.0,962.0,154.0,152.0,9712.0,강원특별자치도 동해시
강원특별자치도,동해시,2031,77619.0,6.0,14.0,86.0,971.0,135.0,148.0,9280.0,강원특별자치도 동해시
강원특별자치도,동해시,2032,76227.0,5.0,14.0,55.0,998.0,116.0,144.0,8848.0,강원특별자치도 동해시
강원특별자치도,삼척시,2010,72046.0,20.0,20.0,478.0,590.0,358.0,160.0,13494.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2011,72312.0,20.0,19.0,473.0,608.0,384.0,159.0,13410.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2012,72463.0,18.0,19.0,522.0,570.0,316.0,181.0,13135.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2013,73023.0,18.0,19.0,436.0,560.0,321.0,148.0,12966.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2014,72314.0,19.0,19.0,418.0,622.0,336.0,166.0,12461.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2015,70839.0,18.0,19.0,421.0,618.0,336.0,148.0,11764.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2016,69599.0,18.0,19.0,381.0,608.0,289.0,150.0,11262.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2017,68514.0,18.0,19.0,337.0,620.0,274.0,122.0,10751.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2018,68326.0,17.0,19.0,341.0,667.0,298.0,141.0,10178.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2019,67228.0,17.0,19.0,366.0,622.0,257.0,167.0,9588.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2020,65243.0,18.0,19.0,358.0,633.0,208.0,135.0,8756.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2021,63429.0,18.0,18.0,287.0,680.0,181.0,132.0,8350.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2022,63455.0,17.0,18.0,295.0,754.0,190.0,103.0,8113.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2023,63486.0,17.0,18.0,274.0,773.0,171.0,109.0,7894.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2024,63521.0,17.0,18.0,259.0,788.0,157.0,100.0,7754.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2025,63560.0,17.0,18.0,243.0,802.0,142.0,98.0,7628.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2026,63602.0,17.0,18.0,227.0,816.0,127.0,93.0,7556.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2027,63646.0,17.0,18.0,211.0,830.0,112.0,89.0,7444.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2028,63692.0,17.0,18.0,195.0,844.0,97.0,85.0,7336.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2029,63740.0,17.0,18.0,179.0,858.0,82.0,81.0,7231.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2030,63789.0,17.0,18.0,163.0,872.0,67.0,77.0,7149.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2031,63839.0,17.0,18.0,147.0,886.0,52.0,73.0,7049.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2032,63890.0,17.0,18.0,131.0,900.0,37.0,69.0,6964.0,강원특별자치도 삼척시
강원특별자치도,속초시,2010,84302.0,12.0,12.0,700.0,569.0,444.0,261.0,17637.0,강원특별자치도 속초시
강원특별자치도,속초시,2011,83745.0,12.0,12.0,667.0,546.0,420.0,211.0,17077.0,강원특별자치도 속초시
강원특별자치도,속초시,2012,83579.0,12.0,12.0,645.0,528.0,442.0,215.0,16606.0,강원특별자치도 속초시
강원특별자치도,속초시,2013,83109.0,12.0,12.0,596.0,549.0,428.0,221.0,15914.0,강원특별자치도 속초시
강원특별자치도,속초시,2014,82432.0,12.0,12.0,609.0,563.0,442.0,212.0,15098.0,강원특별자치도 속초시
강원특별자치도,속초시,2015,81992.0,9.0,12.0,645.0,587.0,382.0,216.0,14397.0,강원특별자치도 속초시
강원특별자치도,속초시,2016,81793.0,9.0,12.0,517.0,581.0,353.0,190.0,13900.0,강원특별자치도 속초시
강원특별자치도,속초시,2017,82273.0,9.0,12.0,383.0,587.0,358.0,186.0,13432.0,강원특별자치도 속초시
강원특별자치도,속초시,2018,81682.0,9.0,12.0,416.0,597.0,344.0,215.0,12988.0,강원특별자치도 속초시
강원특별자치도,속초시,2019,81786.0,11.0,12.0,414.0,568.0,316.0,211.0,12366.0,강원특별자치도 속초시
강원특별자치도,속초시,2020,82665.0,10.0,12.0,415.0,612.0,312.0,226.0,12111.0,강원특별자치도 속초시
강원특별자치도,속초시,2021,82791.0,9.0,12.0,380.0,656.0,305.0,195.0,11852.0,강원특별자치도 속초시
강원특별자치도,속초시,2022,82806.0,9.0,12.0,369.0,725.0,309.0,203.0,11328.0,강원특별자치도 속초시
강원특별자치도,속초시,2023,82820.0,9.0,12.0,344.0,785.0,295.0,195.0,10829.0,강원특별자치도 속초시
강원특별자치도,속초시,2024,82834.0,9.0,12.0,317.0,849.0,284.0,192.0,10343.0,강원특별자치도 속초시
강원특별자치도,속초시,2025,82848.0,9.0,12.0,290.0,911.0,273.0,188.0,9863.0,강원특별자치도 속초시
강원특별자치도,속초시,2026,82862.0,9.0,12.0,263.0,974.0,262.0,184.0,9385.0,강원특별자치도 속초시
강원특별자치도,속초시,2027,82876.0,9.0,12.0,236.0,1037.0,251.0,180.0,8906.0,강원특별자치도 속초시
강원특별자치도,속초시,2028,82890.0,9.0,12.0,209.0,1100.0,240.0,176.0,8426.0,강원특별자치도 속초시
강원특별자치도,속초시,2029,82904.0,9.0,12.0,182.0,1163.0,229.0,172.0,7944.0,강원특별자치도 속초시
강원특별자치도,속초시,2030,82918.0,9.0,12.0,155.0,1226.0,218.0,168.0,7460.0,강원특별자치도 속초시
강원특별자치도,속초시,2031,82932.0,9.0,12.0,128.0,1289.0,207.0,164.0,6974.0,강원특별자치도 속초시
강원특별자치도,속초시,2032,82946.0,9.0,12.0,101.0,1352.0,196.0,160.0,6487.0,강원특별자치도 속초시
강원특별자치도,양구군,2010,21843.0,10.0,10.0,205.0,168.0,156.0,47.0,4070.0,강원특별자치도 양구군
강원특별자치도,양구군,2011,22285.0,10.0,10.0,224.0,188.0,141.0,35.0,4179.0,강원특별자치도 양구군
강원특별자치도,양구군,2012,22799.0,9.0,10.0,227.0,200.0,130.0,54.0,4264.0,강원특별자치도 양구군
강원특별자치도,양구군,2013,23594.0,9.0,10.0,194.0,161.0,184.0,63.0,4257.0,강원특별자치도 양구군
강원특별자치도,양구군,2014,23888.0,9.0,10.0,208.0,175.0,156.0,57.0,4213.0,강원특별자치도 양구군
강원특별자치도,양구군,2015,24089.0,9.0,10.0,228.0,203.0,185.0,47.0,4070.0,강원특별자치도 양구군
강원특별자치도,양구군,2016,24010.0,9.0,10.0,208.0,167.0,168.0,48.0,3861.0,강원특별자치도 양구군
강원특별자치도,양구군,2017,23835.0,9.0,10.0,201.0,173.0,172.0,44.0,3743.0,강원특별자치도 양구군
강원특별자치도,양구군,2018,23408.0,9.0,10.0,164.0,176.0,152.0,42.0,3602.0,강원특별자치도 양구군
강원특별자치도,양구군,2019,22764.0,9.0,10.0,171.0,186.0,135.0,55.0,3409.0,강원특별자치도 양구군
강원특별자치도,양구군,2020,22278.0,10.0,10.0,159.0,193.0,113.0,62.0,3249.0,강원특별자치도 양구군
강원특별자치도,양구군,2021,21748.0,10.0,10.0,161.0,185.0,99.0,44.0,3062.0,강원특별자치도 양구군
강원특별자치도,양구군,2022,21383.0,10.0,10.0,148.0,216.0,102.0,56.0,2937.0,강원특별자치도 양구군
강원특별자치도,양구군,2023,20972.0,10.0,10.0,145.0,210.0,84.0,55.0,2817.0,강원특별자치도 양구군
강원특별자치도,양구군,2024,20500.0,10.0,10.0,140.0,216.0,78.0,56.0,2701.0,강원특별자치도 양구군
강원특별자치도,양구군,2025,19980.0,10.0,10.0,135.0,218.0,65.0,57.0,2588.0,강원특별자치도 양구군
강원특별자치도,양구군,2026,19414.0,10.0,10.0,130.0,221.0,56.0,58.0,2478.0,강원특별자치도 양구군
강원특별자치도,양구군,2027,18801.0,10.0,10.0,125.0,224.0,45.0,59.0,2370.0,강원특별자치도 양구군
강원특별자치도,양구군,2028,18140.0,10.0,10.0,120.0,227.0,35.0,60.0,2264.0,강원특별자치도 양구군
강원특별자치도,양구군,2029,17431.0,10.0,10.0,115.0,230.0,24.0,61.0,2159.0,강원특별자치도 양구군
강원특별자치도,양구군,2030,16690.0,10.0,10.0,110.0,233.0,14.0,62.0,2055.0,강원특별자치도 양구군
강원특별자치도,양구군,2031,15971.0,10.0,10.0,105.0,236.0,3.0,63.0,1952.0,강원특별자치도 양구군
강원특별자치도,양구군,2032,15237.0,10.0,10.0,100.0,239.0,-7.0,64.0,1850.0,강원특별자치도 양구군
강원특별자치도,양양군,2010,27929.0,16.0,14.0,182.0,273.0,127.0,76.0,4362.0,강원특별자치도 양양군
강원특별자치도,양양군,2011,27942.0,16.0,14.0,186.0,277.0,115.0,85.0,4224.0,강원특별자치도 양양군
강원특별자치도,양양군,2012,27802.0,15.0,14.0,172.0,269.0,129.0,70.0,4040.0,강원특별자치도 양양군
강원특별자치도,양양군,2013,27659.0,15.0,14.0,146.0,266.0,124.0,61.0,3868.0,강원특별자치도 양양군
강원특별자치도,양양군,2014,27521.0,15.0,14.0,128.0,263.0,147.0,63.0,3744.0,강원특별자치도 양양군
강원특별자치도,양양군,2015,27479.0,15.0,14.0,134.0,266.0,109.0,59.0,3622.0,강원특별자치도 양양군
강원특별자치도,양양군,2016,27218.0,15.0,14.0,133.0,295.0,99.0,78.0,3423.0,강원특별자치도 양양군
강원특별자치도,양양군,2017,27207.0,15.0,14.0,95.0,301.0,118.0,70.0,3309.0,강원특별자치도 양양군
강원특별자치도,양양군,2018,27347.0,15.0,14.0,134.0,270.0,102.0,61.0,3227.0,강원특별자치도 양양군
강원특별자치도,양양군,2019,27726.0,15.0,13.0,117.0,297.0,112.0,69.0,3157.0,강원특별자치도 양양군
강원특별자치도,양양군,2020,27946.0,15.0,13.0,89.0,305.0,105.0,53.0,3046.0,강원특별자치도 양양군
강원특별자치도,양양군,2021,27913.0,14.0,13.0,84.0,311.0,76.0,63.0,2931.0,강원특별자치도 양양군
강원특별자치도,양양군,2022,27866.0,14.0,13.0,84.0,364.0,99.0,68.0,2757.0,강원특별자치도 양양군
강원특별자치도,양양군,2023,27821.0,14.0,13.0,73.0,376.0,84.0,65.0,2606.0,강원특별자치도 양양군
강원특별자치도,양양군,2024,27776.0,14.0,13.0,65.0,394.0,87.0,65.0,2464.0,강원특별자치도 양양군
강원특별자치도,양양군,2025,27731.0,14.0,13.0,56.0,411.0,81.0,64.0,2326.0,강원특별자치도 양양군
강원특별자치도,양양군,2026,27686.0,14.0,13.0,48.0,428.0,80.0,63.0,2190.0,강원특별자치도 양양군
강원특별자치도,양양군,2027,27641.0,14.0,13.0,39.0,445.0,76.0,62.0,2054.0,강원특별자치도 양양군
강원특별자치도,양양군,2028,27596.0,14.0,13.0,31.0,462.0,74.0,61.0,1918.0,강원특별자치도 양양군
강원특별자치도,양양군,2029,27551.0,14.0,13.0,22.0,479.0,71.0,60.0,1782.0,강원특별자치도 양양군
강원특별자치도,양양군,2030,27506.0,14.0,13.0,14.0,496.0,68.0,59.0,1646.0,강원특별자치도 양양군
강원특별자치도,양양군,2031,27461.0,14.0,13.0,5.0,513.0,65.0,58.0,1510.0,강원특별자치도 양양군
강원특별자치도,양양군,2032,27416.0,14.0,13.0,-3.0,530.0,62.0,57.0,1374.0,강원특별자치도 양양군
강원특별자치도,영월군,2010,40407.0,18.0,13.0,233.0,427.0,171.0,103.0,6463.0,강원특별자치도 영월군
강원특별자치도,영월군,2011,40199.0,16.0,13.0,234.0,385.0,200.0,91.0,6295.0,강원특별자치도 영월군
강원특별자치도,영월군,2012,40155.0,15.0,13.0,197.0,416.0,167.0,85.0,6223.0,강원특별자치도 영월군
강원특별자치도,영월군,2013,40150.0,15.0,13.0,182.0,412.0,175.0,80.0,6122.0,강원특별자치도 영월군
강원특별자치도,영월군,2014,40191.0,15.0,13.0,172.0,413.0,144.0,77.0,5964.0,강원특별자치도 영월군
강원특별자치도,영월군,2015,40216.0,15.0,13.0,166.0,412.0,168.0,82.0,5740.0,강원특별자치도 영월군
강원특별자치도,영월군,2016,40073.0,15.0,13.0,163.0,406.0,182.0,91.0,5531.0,강원특별자치도 영월군
강원특별자치도,영월군,2017,40067.0,15.0,13.0,142.0,447.0,139.0,77.0,5355.0,강원특별자치도 영월군
강원특별자치도,영월군,2018,39730.0,15.0,13.0,122.0,405.0,145.0,75.0,5146.0,강원특별자치도 영월군
강원특별자치도,영월군,2019,39127.0,15.0,13.0,121.0,432.0,138.0,103.0,4822.0,강원특별자치도 영월군
