,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
0,서울특별시,종로구,2010,212478.11813774475,21.583395540359277,16.226698311381547,1592.7193828891525,984.6990144116428,1324.1326089206582,484.6584433814589,29164,174949.91489179272,서울특별시 종로구
1,서울특별시,중구,2010,183101.2456224023,18.466479263592674,14.66543653831688,1642.2625126831726,842.5763417833447,1355.117092434733,470.3826260198121,19628,153012.13907216047,서울특별시 중구
2,서울특별시,용산구,2010,274500.1034576515,23.42105144366957,17.16404662530883,2585.3761672631313,1175.483174248001,1964.6015061123808,593.5177975952605,37318,229831.4244791709,서울특별시 용산구
3,서울특별시,성동구,2010,325823.7050389187,32.99176363914088,21.094357502468185,3024.3070299357823,1295.7167888886072,2367.961469636515,712.106420047785,51562,269911.52445552975,서울특별시 성동구
4,서울특별시,광진구,2010,384785.16625780344,42.12846845212479,23.085678626415827,3486.2652848347675,1352.6287723312062,2708.2235880374833,829.7302395036235,67422,314627.36402115616,서울특별시 광진구
5,서울특별시,동대문구,2010,370280.61688218213,36.92574829473407,21.879096611050564,3019.276817854111,1695.321228812627,2363.5451596829976,893.5665735358397,60098,307805.8221365106,서울특별시 동대문구
6,서울특별시,중랑구,2010,420148.3692060909,35.151669427103144,22.955071684992895,3586.6788307936567,1779.4194423244296,2673.832488796397,1092.8166720506297,75870,344344.5953701132,서울특별시 중랑구
7,서울특별시,성북구,2010,465559.58965333883,51.85901773584246,28.177455224391757,4209.403570105498,1914.4259970570645,3067.2352180965186,956.5854747023911,84496,383961.30197879946,서울특별시 성북구
8,서울특별시,강북구,2010,358239.74140355916,27.34598232542158,16.75329281313718,2983.276869866814,1635.4716011781657,2240.7531588644943,884.7194267265957,58175,295977.3419307517,서울특별시 강북구
9,서울특별시,도봉구,2010,378451.0940420728,32.642412610954786,24.13531498063006,3289.55550663519,1583.28868961417,2225.8239933836007,866.9971734999904,70786,305339.56260808924,서울특별시 도봉구
10,서울특별시,노원구,2010,565441.0640870298,64.81178174889541,38.66885645994859,4935.804272193089,2380.7610087594635,3305.5971114594827,1127.3053545708442,131935,445348.86309377674,서울특별시 노원구
11,서울특별시,은평구,2010,468291.330814215,44.41693109238065,28.45368656300401,4001.521810945129,1994.9656920077869,2930.3478518154525,1053.8801103409994,88442,382742.3694412876,서울특별시 은평구
12,서울특별시,서대문구,2010,338736.881704462,29.206199094661017,19.668731157460556,2907.4857498430606,1431.9542276478858,2132.8171678609933,702.7144146568445,55987,279038.9399934317,서울특별시 서대문구
13,서울특별시,마포구,2010,393851.6735939243,34.196021133617755,22.160527122328965,3811.970632017729,1498.5624259970002,3033.016405689115,795.1304462143047,63925,327403.3545903454,서울특별시 마포구
14,서울특별시,양천구,2010,482440.649986003,47.32522825317602,28.694950591403707,3751.0109340725508,1681.3801933785908,2625.95071374146,968.197718859322,113428,376122.0329582811,서울특별시 양천구
15,서울특별시,강서구,2010,541238.4382387082,46.83321638622749,34.39490361700194,5349.219404206901,2181.4398013001232,3948.5007797398953,1190.9308383187117,105485,440851.6399009212,서울특별시 강서구
16,서울특별시,구로구,2010,420821.11322099826,34.57210634898695,23.839739981455864,4591.8876591802555,1599.492450773306,3337.9401469146783,917.465185044069,70612,348456.9171533081,서울특별시 구로구
17,서울특별시,금천구,2010,279822.0955806986,22.937584673001588,20.010669968988452,2414.368748024913,1135.4818827789704,1944.7621581247172,732.597548464002,42806,229310.5056770931,서울특별시 금천구
18,서울특별시,영등포구,2010,407825.5359732782,42.25907864394423,23.815795729424316,4206.031078037377,1629.1558154981724,3186.4793787659078,913.5594858070427,65287,339736.74229735363,서울특별시 영등포구
19,서울특별시,동작구,2010,402039.92192666815,33.212461062680994,21.25042230743495,3834.7949421151684,1501.2681120279024,2952.432716560503,732.4998725885036,65825,334299.885351957,서울특별시 동작구
20,서울특별시,관악구,2010,503961.018716225,38.13696619224602,22.92522987004974,4546.434353849908,1892.8904013068902,4030.8507596349496,1040.627969952252,77938,426356.4044012288,서울특별시 관악구
21,서울특별시,서초구,2010,430766.1788490103,27.243035361941903,23.121254079571138,4305.670647938421,1334.3645938024545,2969.6264114226396,755.0627653626178,83618,347884.20411333593,서울특별시 서초구
22,서울특별시,강남구,2010,536647.6814880117,34.90774185946367,29.310300726371512,4633.27098710922,1622.4615900817057,3460.407854437712,956.0563160936474,113377,430607.33867325174,서울특별시 강남구
23,서울특별시,송파구,2010,630565.2843967869,46.355105960309125,35.03498354278929,6175.413487385449,2078.187531124302,4414.169082002375,1166.60722201624,133701,507753.43363421137,서울특별시 송파구
24,서울특별시,강동구,2010,478996.7920345752,38.576352223666504,25.672656560696026,4528.2240282366365,1727.5289752749602,3358.4717981937683,982.6819373339467,93125,387957.2688089818,서울특별시 강동구
25,부산광역시,중구,2010,83026.82586218923,6.323602322725612,7.625441622503141,616.3551305669768,552.5418497027151,485.7835082648642,215.06792966562855,6794,69639.17665276017,부산광역시 중구
26,부산광역시,서구,2010,106995.0169937009,19.268044698818,18.44019158894333,960.407263927385,651.9663955158261,690.7883797771284,236.69403088425332,20179,88078.39289605684,부산광역시 서구
27,부산광역시,동구,2010,132054.88604084344,13.391055278382899,10.542856064028395,913.2358485188646,945.8113625880761,713.1427847666554,318.73261754605716,15042,110653.62235815656,부산광역시 동구
28,부산광역시,영도구,2010,162266.6357378528,17.59434203210702,14.872298276547696,1077.4629892637447,1157.6558099909394,900.9708600469788,410.57441559041257,23487,135126.52409723704,부산광역시 영도구
