,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
0,서울특별시,종로구,2010,255964.119953788,25.335559075538857,17.97604214979991,2072.4890170545796,1123.1431679531129,1648.9021313482024,572.3807584727496,29164,210269.46036830515,서울특별시 종로구
1,서울특별시,중구,2010,234931.34290671023,23.006565456622454,16.82355989820547,2104.6268806593516,1019.4568696022538,1671.5040756258688,560.5036035037989,19628,194617.24851151,서울특별시 중구
2,서울특별시,용산구,2010,306833.21691138553,27.106942406510345,18.873462749900106,2864.30506441052,1272.4520409372747,2165.7003814228183,660.7447353741908,37318,254725.6015936793,서울특별시 용산구
3,서울특별시,성동구,2010,343425.2300307642,33.947715743252495,21.614637080059374,3145.0068684360895,1369.7464447255811,2435.8411399245038,748.5137308749327,51562,283616.78321226593,서울특별시 성동구
4,서울특별시,광진구,2010,394474.8529784723,40.36983416261592,23.228292516332473,3584.744712223252,1411.5669560702927,2754.3684863652616,839.1463618012704,67422,322357.6300790706,서울특별시 광진구
5,서울특별시,동대문구,2010,375767.64095273416,36.93061555725633,22.26168369483018,3155.7187300261485,1654.9535141871177,2441.709048592521,878.2773484314256,60098,311145.8840217173,서울특별시 동대문구
6,서울특별시,중랑구,2010,411368.75476187246,35.35004724133478,22.904824129993578,3559.5377663914423,1717.9456076669367,2647.992462489149,1025.5559975391834,75870,336869.42108326626,서울특별시 중랑구
7,서울특별시,성북구,2010,445138.5586742805,47.64779651832547,26.788969998387373,4007.4480848890935,1821.9592789148105,2942.6578223495694,927.5893510722872,84496,366507.1600142913,서울특별시 성북구
8,서울특별시,강북구,2010,374200.89816277765,30.85400266267209,19.14295138357208,3181.5020042450665,1654.2339049840564,2366.2405570546252,889.217013418865,58175,307730.40271372267,서울특별시 강북구
9,서울특별시,도봉구,2010,398443.09111047135,36.12202611643868,25.240911474196967,3483.5212992912775,1660.779938013938,2397.5358326750857,896.1226062198889,70786,321671.41815431096,서울특별시 도봉구
10,서울특별시,노원구,2010,522360.0221461256,57.34909712687737,34.68748940262827,4573.280994983968,2187.5395334686386,3116.319003934386,1065.362016211517,131935,414376.2572804951,서울특별시 노원구
11,서울특별시,은평구,2010,453797.7657073753,43.4770851842833,27.709296167766148,3934.861124693927,1903.8459580303904,2886.7008987730555,1012.5406606172792,88442,370594.7615021072,서울특별시 은평구
12,서울특별시,서대문구,2010,356660.01571859,32.058669853699854,21.140905523513464,3120.2444884430656,1481.025863634302,2296.6008500931375,750.8312246013204,55987,292911.86876663973,서울특별시 서대문구
13,서울특별시,마포구,2010,398423.70896690566,35.72627144559271,22.93105734206095,3804.179000389375,1530.1774297884308,2972.016760846359,819.8614304009767,63925,329377.5256887508,서울특별시 마포구
14,서울특별시,양천구,2010,464700.17390809226,45.67872731067291,27.826458647514972,3805.505724986724,1658.9736959229344,2704.3527929855563,953.0106103062586,113428,365849.78816932894,서울특별시 양천구
15,서울특별시,강서구,2010,505300.25314332556,45.35457872777024,32.03682808269455,4925.525397553099,2019.299592005378,3628.9292802546142,1109.0183537180048,105485,411005.0420883536,서울특별시 강서구
16,서울특별시,구로구,2010,419946.36071521643,36.64307318211532,24.338968310310307,4415.150938097005,1595.958493536031,3221.8232272016303,914.4657603083923,70612,345553.4544499326,서울특별시 구로구
17,서울특별시,금천구,2010,315594.4429840526,28.187250649396915,21.525090770756258,2820.969768964635,1247.5680606545684,2203.1085805091316,779.2607672527727,42806,257359.34803753372,서울특별시 금천구
18,서울특별시,영등포구,2010,409204.5699183538,41.53850254580101,24.0676333279391,4106.793876954536,1615.1363231879818,3095.695507029361,906.8783529744736,65287,338507.01878788206,서울특별시 영등포구
19,서울특별시,동작구,2010,407031.16566315456,35.092992978507986,22.258016543433204,3860.5650859781254,1528.7346256145804,2950.994951963912,778.5554243395939,65825,336479.9327336685,서울특별시 동작구
20,서울특별시,관악구,2010,482148.0301286191,38.88990225211872,23.581021228708153,4388.838962738654,1811.3236652923856,3739.872179562788,1004.5819579123837,77938,403921.253249407,서울특별시 관악구
21,서울특별시,서초구,2010,430245.0525304869,30.177988578977633,23.565932757143862,4220.313034932302,1401.2480909422277,2972.472658034288,788.9259059292332,83618,348177.2323710324,서울특별시 서초구
22,서울특별시,강남구,2010,505779.6534969014,35.616501282426725,27.954062186017246,4436.519924840284,1610.2788686674771,3312.978225006546,933.5245755379877,113377,407309.0169784144,서울특별시 강남구
23,서울특별시,송파구,2010,578367.9116137922,44.37183533308566,32.3243282904267,5602.216543774294,1954.9703024928165,4037.34766686025,1096.0591861557348,133701,466669.84893463756,서울특별시 송파구
24,서울특별시,강동구,2010,467257.003015146,38.31622512719314,25.403559306348246,4396.179076921107,1695.5564828628962,3259.987970149936,958.2726422964339,93125,378940.55022648233,서울특별시 강동구
25,부산광역시,중구,2010,113446.08185798807,10.232681196756992,10.05290793984371,837.285549972819,713.7175196804205,653.0818805091208,276.7797112143465,6794,94217.51746476513,부산광역시 중구
26,부산광역시,서구,2010,147433.7559702413,21.937792605322194,19.630501715020095,1258.4361251993905,829.9076290473428,898.326191944539,321.64749776786266,20179,119988.20716778914,부산광역시 서구
27,부산광역시,동구,2010,160231.70066123657,16.39153338871554,12.90546677339497,1167.2774373843313,1044.5434040260163,883.0546215062981,369.60931526977004,15042,133068.48921697823,부산광역시 동구
28,부산광역시,영도구,2010,173379.47272141377,18.396413017913023,15.367169347234793,1202.2955374329931,1158.129050391812,965.9084027350882,420.2598494649428,23487,143663.81348998717,부산광역시 영도구
29,부산광역시,부산진구,2010,322897.14438974415,35.86084063763163,26.293172774646266,2627.7376240834124,1840.2665258184506,1914.3862250150783,663.3713317388327,66621,267012.1090922363,부산광역시 부산진구
30,부산광역시,동래구,2010,265576.88201586297,27.191507366098207,21.35481300505879,1968.6475258486662,1340.2020640238482,1381.0563737664188,534.8101874035714,54555,214955.82871460926,부산광역시 동래구
31,부산광역시,남구,2010,264372.4760447026,22.576387997068558,19.04682253264839,2119.159850394627,1435.7274830446515,1440.6839209235288,552.6710747505081,53215,216959.60064571144,부산광역시 남구
32,부산광역시,북구,2010,270157.5885957624,29.03152922296242,23.84126459294959,2113.4612433579846,1321.8115860454493,1513.2330780691036,565.6662058500159,66336,214913.609086266,부산광역시 북구
33,부산광역시,해운대구,2010,344075.5767528103,32.05803262242732,26.62735669049583,2716.2430284536526,1665.127448183152,1878.3686242464237,719.097626333143,89183,274433.1768466052,부산광역시 해운대구
34,부산광역시,사하구,2010,299201.7195804247,34.20791029338844,23.420754455552387,2485.9129318921696,1570.8475095102058,1843.769848269667,663.1881050338822,69512,241983.26951673746,부산광역시 사하구
