행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
서울특별시,종로구,2010,181462.61925977777,18.126866843312264,14.54224133332521,1230.8902191655588,886.7135202641969,1092.1833216602429,418.8246427527684,29164,150156.85398800884,서울특별시 종로구
서울특별시,중구,2010,145824.64008810426,14.345180498384474,12.650243955227397,1290.500108552069,715.4878973384242,1128.4723838062,401.770658769782,19628,123526.47114993408,서울특별시 중구
서울특별시,용산구,2010,252548.605320447,20.08101253731523,15.521079023925234,2381.487794215423,1109.2750859223254,1831.0581074306479,544.9271033977986,37318,213348.45296079054,서울특별시 용산구
서울특별시,성동구,2010,313655.05919640325,31.450380797636676,20.24305836781795,2922.0823445394294,1244.8699595702578,2324.0831088279565,682.5717726363273,51562,260968.84114977994,서울특별시 성동구
서울특별시,광진구,2010,378468.54768382706,41.95781630036919,22.23383072621298,3400.2924660820845,1307.5782498549538,2686.0874395321234,816.4145868499629,67422,310276.85643853125,서울특별시 광진구
서울특별시,동대문구,2010,368069.53353116097,36.202381385916546,21.202202262036447,2917.150217294151,1731.799485400328,2320.3333510322855,904.2144023617623,60098,307331.07969004207,서울특별시 동대문구
서울특별시,중랑구,2010,425856.5312464328,33.38479754125895,22.15331946079431,3572.7920669258274,1823.3999254010362,2690.504015171897,1135.2039113185756,75870,350042.72769196396,서울특별시 중랑구
서울특별시,성북구,2010,483330.4149703425,54.147818414968945,28.75597859587265,4359.242465890115,1992.9899135445664,3177.2991284675313,979.6896099817731,84496,399553.74180827086,서울특별시 성북구
서울특별시,강북구,2010,350122.90114994143,24.048079080103697,14.671009033103811,2850.6563332005153,1638.538545044258,2170.8106312849563,883.5723890437939,58175,290849.81126065966,서울특별시 강북구
서울특별시,도봉구,2010,371346.3040499702,29.863383683036684,23.26408638471449,3193.125644621454,1560.8172702369616,2141.8196177035834,856.3399769875936,70786,299934.4980179126,서울특별시 도봉구
서울특별시,노원구,2010,600001.53055029,69.36948208926611,41.12899823727559,5207.187271964543,2536.613575378946,3460.826242276455,1174.4287291569935,131935,471049.01793198375,서울특별시 노원구
서울특별시,은평구,2010,483164.5112616475,44.768458678887725,28.812628320543645,4069.772785515079,2078.9772671509654,2989.339808849669,1090.4208604344585,88442,395480.85227789683,서울특별시 은평구
서울특별시,서대문구,2010,327980.8748030082,26.70916631094079,18.362947014515395,2758.5577701849434,1405.361090697265,2028.6102449405655,670.1304850767152,55987,271124.5694111954,서울특별시 서대문구
서울특별시,마포구,2010,392564.22866202646,32.51970586184082,21.267836816780793,3821.272085444786,1482.342053085341,3095.037995407483,778.171474831203,63925,327978.982448669,서울특별시 마포구
서울특별시,양천구,2010,495771.28033342416,47.78421994648693,28.890494975731308,3696.08197143526,1695.8323973396823,2572.7960144287235,978.0714857358048,113428,384106.0270096815,서울특별시 양천구
서울특별시,강서구,2010,566302.3778027272,46.92547018239489,35.57019573711321,5628.909415936314,2294.0020411517376,4175.261642053816,1244.2115850976206,105485,462024.6317468278,서울특별시 강서구
서울특별시,구로구,2010,423139.49168960337,32.593740030157186,23.174451455525244,4724.614793058945,1605.4650955713637,3439.5973917291335,921.7934343916078,70612,352075.4810089879,서울특별시 구로구
서울특별시,금천구,2010,253980.2457014947,18.425098286378653,18.460842215883506,2105.371331040797,1050.3943916510223,1766.6374491581248,698.4625857558408,42806,209239.46260155027,서울특별시 금천구
서울특별시,영등포구,2010,407350.7185784867,42.033893549201025,23.179521499341327,4268.322571400392,1638.1303929092735,3260.694579861701,917.356560800224,65287,341320.2113393128,서울특별시 영등포구
서울특별시,동작구,2010,402789.89697001484,31.516647192666994,20.284478845886767,3843.9128828657576,1492.846450444132,2989.1523366609904,705.6120845121525,65825,336450.52724545915,서울특별시 동작구
서울특별시,관악구,2010,524800.0378910722,37.22266271420484,22.186946606984765,4690.09201844178,1965.571557024125,4283.094943539613,1075.1113770933623,77938,446911.9625894274,서울특별시 관악구
서울특별시,서초구,2010,434656.4145278572,24.02191672547103,22.252484462466217,4384.8308906820785,1291.9917168939785,3002.1574514081813,729.7242726430561,83618,351074.3969730156,서울특별시 서초구
서울특별시,강남구,2010,562413.6570681751,33.43683948695527,29.800857888087847,4789.8159122496445,1638.5389003774246,3597.125092952485,972.2898650469419,113377,450768.7078408178,서울특별시 강남구
서울특별시,송파구,2010,672026.300874296,46.71672350950409,36.44119500083235,6608.205411458276,2175.036328132257,4721.069014332143,1217.3453199681014,133701,541035.8042137116,서울특별시 송파구
서울특별시,강동구,2010,489046.15284643864,37.239094556229986,25.08890642629773,4617.900206757893,1750.3980783767352,3448.164258291154,994.6550786555748,93125,396449.36634852877,서울특별시 강동구
부산광역시,중구,2010,57442.51023224851,3.029085149594625,5.631613492480465,415.2856937466024,421.71468996005257,338.0102350636401,162.34746390179333,6794,49094.18968309565,부산광역시 중구
부산광역시,서구,2010,73198.96949628017,16.742224075665277,17.328812714377513,690.1795156499239,505.36345363091783,505.1657739930674,164.4559372209829,20179,61525.775895973646,부산광역시 서구
부산광역시,동구,2010,108853.71258265458,10.798941673589443,8.613183346674372,694.5346796730415,863.817925503252,568.0068276882873,275.4511644087213,15042,92296.56115212227,부산광역시 동구
부산광역시,영도구,2010,150164.55826801097,16.330373588650044,14.185445856009762,933.509214675237,1144.7969886666294,821.1701543964383,393.9527499523658,23487,125883.13735119758,부산광역시 영도구
