행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,강릉시,2058,173902.0,30.0,62.0,136.0,6447.0,87.0,232.0,6108.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2059,172959.0,30.0,63.0,129.0,6655.0,83.0,228.0,5853.0,강원특별자치도 강릉시
강원특별자치도,고성군,2010,30653.9,11.01,13.979999999999999,175.3,308.63,178.68,77.85,4765.0,강원특별자치도 고성군
강원특별자치도,고성군,2011,30593.88,11.01,13.979999999999999,217.54000000000002,266.82,165.57,77.35,4834.0,강원특별자치도 고성군
강원특별자치도,고성군,2012,30658.55,11.01,13.979999999999999,194.54999999999998,325.05,176.68,62.54,4762.0,강원특별자치도 고성군
강원특별자치도,고성군,2013,30925.11,11.01,13.979999999999999,166.34,296.55,168.62,75.47,4672.0,강원특별자치도 고성군
강원특별자치도,고성군,2014,30790.63,11.01,13.979999999999999,162.51,283.82,151.93,86.27000000000001,4317.0,강원특별자치도 고성군
강원특별자치도,고성군,2015,30579.320000000003,10.98,13.979999999999999,152.97,316.73,173.10999999999999,72.45,4070.0,강원특별자치도 고성군
강원특별자치도,고성군,2016,30630.79,10.98,13.979999999999999,150.7,306.77,179.75,69.22,3874.0,강원특별자치도 고성군
강원특별자치도,고성군,2017,30551.44,10.98,13.979999999999999,137.48000000000002,309.8,139.21,55.32,3736.0,강원특별자치도 고성군
강원특별자치도,고성군,2018,28679.38,10.98,13.979999999999999,109.1,334.65000000000003,142.04,74.42,3165.0,강원특별자치도 고성군
강원특별자치도,고성군,2019,27805.260000000002,11.0,12.989999999999998,129.87,299.71,131.85999999999999,58.54,2952.0,강원특별자치도 고성군
강원특별자치도,고성군,2020,27316.08,10.99,12.989999999999998,101.17,331.83,100.14,61.66,2750.0,강원특별자치도 고성군
강원특별자치도,고성군,2021,27804.42,10.98,12.989999999999998,95.86999999999999,334.25,95.11999999999999,61.35,2711.0,강원특별자치도 고성군
강원특별자치도,고성군,2022,27829.32,10.98,12.989999999999998,111.6,366.62,112.98,56.480000000000004,2651.0,강원특별자치도 고성군
강원특별자치도,고성군,2023,27718.489999999998,11.979999999999999,13.99,96.58,355.42,142.58,57.41,2553.0,강원특별자치도 고성군
강원특별자치도,고성군,2024,27552.780000000002,11.979999999999999,13.99,97.39,375.99,173.19,55.4,2446.0,강원특별자치도 고성군
강원특별자치도,고성군,2025,27367.3,11.969999999999999,13.99,89.28999999999999,372.86,214.67999999999998,54.38,2339.0,강원특별자치도 고성군
강원특별자치도,고성군,2026,27173.9,11.969999999999999,13.99,86.16,388.63,262.11,52.36,2235.0,강원특별자치도 고성군
강원특별자치도,고성군,2027,26978.52,11.969999999999999,13.99,82.05,389.63,323.40999999999997,51.34,2136.0,강원특별자치도 고성군
강원특별자치도,고성군,2028,26784.14,11.969999999999999,13.0,77.94,402.61,398.57,50.32,2040.0,강원특별자치도 고성군
강원특별자치도,고성군,2029,26590.75,11.969999999999999,13.0,73.84,406.78,490.57,49.3,1949.0,강원특별자치도 고성군
강원특별자치도,고성군,2030,26399.33,11.959999999999999,13.0,70.74000000000001,418.0,604.3399999999999,47.29,1862.0,강원특별자치도 고성군
강원특별자치도,고성군,2031,26207.92,11.959999999999999,13.0,66.64999999999999,424.39,744.85,46.269999999999996,1779.0,강원특별자치도 고성군
강원특별자치도,고성군,2032,26018.49,11.959999999999999,13.0,63.56,434.89000000000004,919.02,45.25,1699.0,강원특별자치도 고성군
강원특별자치도,고성군,2033,25830.04,11.959999999999999,13.0,60.48,442.56,1132.79,44.230000000000004,1623.0,강원특별자치도 고성군
강원특별자치도,고성군,2034,25643.58,11.959999999999999,13.0,57.4,453.37,1397.0600000000002,43.21,1550.0,강원특별자치도 고성군
강원특별자치도,고성군,2035,25458.11,11.959999999999999,13.0,54.33,462.39,1723.6899999999998,42.19,1481.0,강원특별자치도 고성군
강원특별자치도,고성군,2036,25274.620000000003,11.95,13.0,52.260000000000005,472.59000000000003,2126.56,41.17,1414.0,강원특별자치도 고성군
강원특별자치도,고성군,2037,25092.12,11.95,13.0,49.199999999999996,482.02000000000004,2622.4900000000002,40.15,1351.0,강원특별자치도 고성군
강원특별자치도,고성군,2038,24910.61,11.95,13.0,47.13,493.68,3235.2400000000002,39.14,1290.0,강원특별자치도 고성군
강원특별자치도,고성군,2039,24731.08,11.95,13.0,45.07,504.6,3991.5499999999997,38.120000000000005,1233.0,강원특별자치도 고성군
강원특별자치도,고성군,2040,24552.54,11.95,13.0,42.019999999999996,516.81,4924.07,37.1,1177.0,강원특별자치도 고성군
강원특별자치도,고성군,2041,24374.99,11.95,12.01,39.96,528.34,6075.389999999999,36.089999999999996,1125.0,강원특별자치도 고성군
강원특별자치도,고성군,2042,24199.42,11.94,12.01,37.92,541.2,7495.99,35.07,1074.0,강원특별자치도 고성군
강원특별자치도,고성군,2043,24024.85,11.94,12.01,36.86,554.45,9249.23,34.06,1026.0,강원특별자치도 고성군
강원특별자치도,고성군,2044,23851.26,11.94,12.01,34.82,568.11,11412.33,33.04,980.0,강원특별자치도 고성군
강원특별자치도,고성군,2045,23679.65,11.94,12.01,32.78,582.23,14080.33,33.02,936.0,강원특별자치도 고성군
강원특별자치도,고성군,2046,23509.04,11.94,12.01,31.73,596.84,17374.010000000002,32.010000000000005,894.0,강원특별자치도 고성군
강원특별자치도,고성군,2047,23339.41,11.94,12.01,29.700000000000003,613.0,21438.91,30.99,854.0,강원특별자치도 고성군
강원특별자치도,고성군,2048,23170.78,11.94,12.01,28.65,628.76,26453.22,29.98,816.0,강원특별자치도 고성군
강원특별자치도,고성군,2049,23004.12,11.94,12.01,26.63,646.1700000000001,32641.67,29.96,779.0,강원특별자치도 고성군
강원특별자치도,고성군,2050,22838.46,11.93,12.01,25.59,664.3000000000001,40281.45,28.95,744.0,강원특별자치도 고성군
