Unnamed: 0,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
103.0,강원특별자치도,강릉시,2010,172529.848156459,33.5744558448247,29.141666322404753,1295.201743013891,1139.809639755028,854.6309877659498,390.6164987089832,43102.0,138647.70667833724,강원특별자치도 강릉시
326.0,강원특별자치도,강릉시,2011,171864.75909556664,33.49666352069389,29.081064040135423,1315.746915445953,1148.878525696749,900.3424707869741,392.44067110317974,41960.0,138842.99782187014,강원특별자치도 강릉시
549.0,강원특별자치도,강릉시,2012,171813.67674255112,33.146726446370025,29.081064040135423,1291.151358069882,1188.8661791705242,872.2363173853864,379.217724965705,41589.0,139178.4004704297,강원특별자치도 강릉시
772.0,강원특별자치도,강릉시,2013,171264.09934501708,33.0905248427881,29.0248624365535,1152.65554895483,1175.66547034884,814.1704118784008,418.69875523705144,40758.0,139269.30749359063,강원특별자치도 강릉시
995.0,강원특별자치도,강릉시,2014,170406.2125525024,33.851127125057424,29.0248624365535,1037.433829198729,1222.644599371945,786.9270266979811,379.3166474404884,39345.0,139545.91005631763,강원특별자치도 강릉시
1218.0,강원특별자치도,강릉시,2015,169356.775896953,35.754696569852605,29.0248624365535,1107.0767456851045,1241.0630146604483,775.4042018127839,380.0841203682808,37605.0,139847.43415783654,강원특별자치도 강릉시
1441.0,강원특별자치도,강릉시,2016,168683.68541743906,31.243527273329413,29.0248624365535,981.0841933577516,1234.544593364214,727.8328049951272,367.9202121479753,36113.0,140346.0825854112,강원특별자치도 강릉시
1664.0,강원특별자치도,강릉시,2017,168647.8778096426,31.165734949198615,29.0248624365535,854.3475777529428,1222.357124954371,728.12756997192,352.7844396709254,34780.0,141355.43180082686,강원특별자치도 강릉시
1887.0,강원특별자치도,강릉시,2018,167772.22685037644,31.10513266692928,29.0248624365535,817.1187388490611,1337.6890593044225,691.7500764764455,344.9419585125655,33550.0,141452.61073939136,강원특별자치도 강릉시
2110.0,강원특별자치도,강릉시,2019,167990.22792480767,29.795684848886275,28.264734737514047,764.2430854981013,1355.3369902915215,699.4136291114394,394.2714374100132,32513.0,142526.33619163383,강원특별자치도 강릉시
2333.0,강원특별자치도,강릉시,2020,167821.24458423874,30.51101104017711,28.96473473751405,749.7394722482459,1356.2825702382363,625.5336946919824,333.27876925016847,30887.0,143600.8938577844,강원특별자치도 강릉시
2556.0,강원특별자치도,강릉시,2021,167358.84203136183,30.405607250159164,28.90413245524472,704.0706623441235,1363.2262391468223,621.2017002405406,335.2333218391508,29754.0,144026.86244239402,강원특별자치도 강릉시
2779.0,강원특별자치도,강릉시,2022,166156.70286484004,30.189420319628233,29.60413245524472,698.8877511071232,1648.1181154979288,544.0590439422839,322.000285814425,28365.0,143900.12772681986,강원특별자치도 강릉시
3002.0,강원특별자치도,강릉시,2023,165797.0,30.0,29.0,657.0,1681.0,522.0,332.0,28423.0,144334.0,강원특별자치도 강릉시
3225.0,강원특별자치도,강릉시,2024,165454.0,30.0,30.0,615.0,1713.0,499.0,328.0,28476.0,144767.0,강원특별자치도 강릉시
3448.0,강원특별자치도,강릉시,2025,165128.0,30.0,29.0,573.0,1746.0,477.0,329.0,28522.0,145200.0,강원특별자치도 강릉시
3671.0,강원특별자치도,강릉시,2026,164816.0,30.0,30.0,531.0,1777.0,455.0,329.0,28564.0,145634.0,강원특별자치도 강릉시
3894.0,강원특별자치도,강릉시,2027,164519.0,30.0,29.0,489.0,1809.0,433.0,329.0,28602.0,146067.0,강원특별자치도 강릉시
4117.0,강원특별자치도,강릉시,2028,164236.0,30.0,29.0,447.0,1839.0,411.0,329.0,28635.0,146501.0,강원특별자치도 강릉시
4340.0,강원특별자치도,강릉시,2029,163967.0,30.0,29.0,405.0,1870.0,390.0,329.0,28665.0,146934.0,강원특별자치도 강릉시
4563.0,강원특별자치도,강릉시,2030,163710.0,30.0,29.0,363.0,1900.0,368.0,329.0,28692.0,147367.0,강원특별자치도 강릉시
4785.0,강원특별자치도,강릉시,2031,163464.0,30.0,29.0,322.0,1930.0,346.0,329.0,28715.0,147800.0,강원특별자치도 강릉시
5008.0,강원특별자치도,강릉시,2032,163231.0,30.0,29.0,280.0,1960.0,325.0,329.0,28737.0,148234.0,강원특별자치도 강릉시
117.0,강원특별자치도,고성군,2010,36016.54344433233,11.906379297407453,13.562260892693692,247.9859334189652,324.4036376279495,204.93756523190132,95.99506633649334,4765.0,29754.226312015588,강원특별자치도 고성군
340.0,강원특별자치도,고성군,2011,35943.52441310068,11.906379297407453,13.562260892693692,272.3807905290402,293.4758368729542,190.132120077373,89.36663818156134,4834.0,29705.429980741425,강원특별자치도 고성군
563.0,강원특별자치도,고성군,2012,36016.15847609006,11.663811802591216,13.562260892693692,255.19121885935985,332.5729390609558,201.22624491016748,80.18922325261866,4762.0,29898.81505315537,강원특별자치도 고성군
786.0,강원특별자치도,고성군,2013,36186.34756541611,11.663811802591216,13.562260892693692,224.1290397331179,313.21722529233597,197.7395378597196,90.34868982920774,4672.0,30235.523999846264,강원특별자치도 고성군
1009.0,강원특별자치도,고성군,2014,36018.8833048515,11.663811802591216,13.562260892693692,221.31601410950557,305.1142160541347,188.85862847428797,97.25076361475809,4317.0,30435.755628436295,강원특별자치도 고성군
1232.0,강원특별자치도,고성군,2015,35874.95336428943,11.310883591713912,13.562260892693692,223.42460575567924,334.53593522866095,196.6118879774301,85.44317949774063,4070.0,30571.64770855257,강원특별자치도 고성군
