연도,행정구역,학령인구(명)
2028,강원특별자치도 태백시,2851.0
2029,강원특별자치도 태백시,2556.0
2030,강원특별자치도 태백시,2219.0
2021,강원특별자치도 평창군,4878.0
2022,강원특별자치도 평창군,4604.0
2023,강원특별자치도 평창군,4365.0
2024,강원특별자치도 평창군,4008.0
2025,강원특별자치도 평창군,3465.0
2026,강원특별자치도 평창군,3080.0
2027,강원특별자치도 평창군,2766.0
2028,강원특별자치도 평창군,2430.0
2029,강원특별자치도 평창군,2186.0
2030,강원특별자치도 평창군,2091.0
2021,강원특별자치도 홍천군,8766.0
2022,강원특별자치도 홍천군,8273.0
2023,강원특별자치도 홍천군,8009.0
2024,강원특별자치도 홍천군,7477.0
2025,강원특별자치도 홍천군,6866.0
2026,강원특별자치도 홍천군,6389.0
2027,강원특별자치도 홍천군,5965.0
2028,강원특별자치도 홍천군,5563.0
2029,강원특별자치도 홍천군,5171.0
2030,강원특별자치도 홍천군,4790.0
2021,강원특별자치도 화천군,3368.0
2022,강원특별자치도 화천군,3305.0
2023,강원특별자치도 화천군,3242.0
2024,강원특별자치도 화천군,3005.0
2025,강원특별자치도 화천군,2787.0
2026,강원특별자치도 화천군,2704.0
2027,강원특별자치도 화천군,2643.0
2028,강원특별자치도 화천군,2584.0
2029,강원특별자치도 화천군,2537.0
2030,강원특별자치도 화천군,2494.0
2021,강원특별자치도 횡성군,5753.0
2022,강원특별자치도 횡성군,5549.0
2023,강원특별자치도 횡성군,5493.0
2024,강원특별자치도 횡성군,5147.0
2025,강원특별자치도 횡성군,4680.0
2026,강원특별자치도 횡성군,4317.0
2027,강원특별자치도 횡성군,4030.0
2028,강원특별자치도 횡성군,3809.0
2029,강원특별자치도 횡성군,3634.0
2030,강원특별자치도 횡성군,3494.0
2021,경기도 가평군,7921.0
2022,경기도 가평군,7671.0
2023,경기도 가평군,7424.0
2024,경기도 가평군,7089.0
2025,경기도 가평군,6483.0
2026,경기도 가평군,6132.0
2027,경기도 가평군,5847.0
2028,경기도 가평군,5596.0
2029,경기도 가평군,5366.0
2030,경기도 가평군,5203.0
2021,경기도 고양시,169349.0
2022,경기도 고양시,166670.0
2023,경기도 고양시,161559.0
2024,경기도 고양시,156290.0
2025,경기도 고양시,151705.0
2026,경기도 고양시,148383.0
2027,경기도 고양시,145863.0
2028,경기도 고양시,143044.0
2029,경기도 고양시,140617.0
2030,경기도 고양시,138230.0
2021,경기도 과천시,11444.0
2022,경기도 과천시,11870.0
2023,경기도 과천시,12695.0
2024,경기도 과천시,13393.0
2025,경기도 과천시,13272.0
2026,경기도 과천시,13067.0
2027,경기도 과천시,12900.0
2028,경기도 과천시,12780.0
2029,경기도 과천시,12701.0
2030,경기도 과천시,12659.0
2021,경기도 광명시,51674.0
2022,경기도 광명시,49265.0
2023,경기도 광명시,47200.0
2024,경기도 광명시,45995.0
2025,경기도 광명시,44533.0
2026,경기도 광명시,43702.0
