행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
서울특별시,종로구,2010,172678.02202995127,17.222130264609973,14.106491056911684,1131.0689043407808,858.6660225161559,1026.6785582290704,400.45453892600636,29164,143096.60421645746,서울특별시 종로구
서울특별시,중구,2010,135373.05746744,13.271152315755392,12.131585777680726,1193.748365862848,679.6984863239222,1064.515130154491,382.692053718879,19628,115215.58705102703,서울특별시 중구
서울특별시,용산구,2010,246403.13237738586,19.223831038206953,15.109393964182756,2326.289526804421,1090.6741420205583,1793.4895840389415,531.4041857756332,37318,208704.8516907553,서울특별시 용산구
서울특별시,성동구,2010,309941.5365151527,31.096433940671986,20.05280117742431,2892.8005481744985,1229.5423278055223,2309.126369321097,674.0246630976949,51562,258160.53551631287,서울특별시 성동구
서울특별시,광진구,2010,375988.30022647436,42.00573864210846,22.053848372627357,3372.304814631126,1293.324717860957,2674.151484047251,812.042083443377,67422,308418.602409569,서울특별시 광진구
서울특별시,동대문구,2010,366984.52684731054,36.044065254207354,21.042565940918276,2886.978886648215,1739.7506615304178,2305.1961411790953,906.371458411502,60098,306763.88198575587,서울특별시 동대문구
서울특별시,중랑구,2010,427167.7640164373,33.106115054304894,22.04607439808811,3571.211900037287,1834.4305826623997,2693.48679489233,1147.315456606033,75870,351288.6146000315,서울특별시 중랑구
서울특별시,성북구,2010,487788.27078999416,54.836126635687194,28.954110649914476,4398.957012571126,2012.9125266991223,3204.907807336288,985.5464421186928,84496,403434.28732601495,서울특별시 성북구
서울특별시,강북구,2010,347157.0433952392,23.216883864277452,14.136349360335826,2810.524664459797,1636.1373311699967,2147.298152802673,882.2668784912379,58175,288768.49315255374,서울특별시 강북구
서울특별시,도봉구,2010,368934.79524452565,29.188328759783065,23.05906577073699,3165.6775393495873,1552.1587382991813,2116.646848994346,853.0093571033409,70786,298010.0758340447,서울특별시 도봉구
서울특별시,노원구,2010,609019.8013762677,70.69076175444178,41.83312913387519,5280.525212764837,2577.0013428982847,3501.2746530277755,1187.031717773022,131935,477665.8474408504,서울특별시 노원구
서울특별시,은평구,2010,487119.7403718516,44.96324952846796,28.967213939224635,4090.0873827827563,2101.402945774844,3005.0827086975023,1100.5643849548617,88442,398823.5165575628,서울특별시 은평구
서울특별시,서대문구,2010,325274.39556956926,26.153448838096487,18.07831753107404,2722.674284233591,1398.8274266956694,2002.0427541994356,662.1896601222849,55987,269099.1364862654,서울특별시 서대문구
서울특별시,마포구,2010,391975.65991658677,32.10210058497156,21.05249189825363,3823.2044567249623,1477.1757248071428,3110.0068872862207,773.1846274143296,63925,327924.0654457517,서울특별시 마포구
서울특별시,양천구,2010,499145.35313305317,47.96373656202922,28.98275118619238,3681.7784053281985,1699.157508385891,2556.8341562059813,980.4180907000829,113428,386070.0520839764,서울특별시 양천구
서울특별시,강서구,2010,572501.7559653567,46.98854529038927,35.91732221254939,5701.514997563892,2322.647641346178,4232.204557343708,1257.536024511785,105485,467269.22394505725,서울특별시 강서구
서울특별시,구로구,2010,423635.28054935083,32.131358600649456,23.043426854603858,4761.48278450809,1606.7708511329963,3465.589715411664,922.8123679588075,70612,352926.89378572436,서울특별시 구로구
서울특별시,금천구,2010,246945.91731390415,17.29808720282028,18.10087065659343,2022.8251231570962,1027.722685405989,1717.1330229895696,689.3243235683982,42806,203750.66189125422,서울특별시 금천구
