,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
0,서울특별시,종로구,2010,228677.9916271613,23.78886445878337,17.362692846290418,1793.4095212629318,1037.7982936154883,1447.0383796426906,518.8807374957453,29164,187784.90168616956,서울특별시 종로구
1,서울특별시,중구,2010,203667.96048734486,21.097844457974993,16.011153283161995,1838.2466470820468,915.5887500527483,1476.1430405533667,506.9524906759699,19628,169142.157837712,서울특별시 중구
2,서울특별시,용산구,2010,283768.91038195376,25.5152194353048,18.261389535689414,2671.8350597809726,1205.4392857611863,2015.012248530776,614.7483278106132,37318,236402.24467468998,서울특별시 용산구
3,서울특별시,성동구,2010,329088.22698356624,33.854229053347446,21.647116776584472,3048.8197190861965,1315.9383836972102,2363.637945213917,721.0576081881898,51562,271892.17252773786,서울특별시 성동구
4,서울특별시,광진구,2010,382515.1392154287,42.00706486171859,23.601190099188138,3482.330977822632,1365.7661279997417,2677.3899232971785,824.9117228136186,67422,312266.22569297126,서울특별시 광진구
5,서울특별시,동대문구,2010,367435.5718281582,37.283640246580624,22.337858471175387,3047.475524480032,1659.6665816188067,2361.4458039060823,877.1453588818141,60098,304572.68432791287,서울특별시 동대문구
6,서울특별시,중랑구,2010,409948.7459193954,35.980105677200385,23.413968061067287,3535.239434716295,1732.3430149371873,2618.7394369646245,1050.062013284671,75870,335392.49211017933,서울특별시 중랑구
7,서울특별시,성북구,2010,449611.91554316116,50.220403720624056,27.801466115345836,4072.6684566333406,1850.7045726037293,2965.1365421702385,931.9903492832116,84496,370203.41097950586,서울특별시 성북구
8,서울특별시,강북구,2010,358358.50194591895,29.41184365425528,18.168281152667078,3031.0384705054857,1617.8721604591872,2253.920672610234,874.1128149466213,58175,295116.65088606003,서울특별시 강북구
9,서울특별시,도봉구,2010,377125.0353599508,34.272646049935,24.71206761114222,3306.429573511106,1579.508853095573,2244.1142138457803,861.0609882325359,70786,304071.2918032873,서울특별시 도봉구
10,서울특별시,노원구,2010,536882.2725882606,61.69672697452433,37.09315968950171,4711.727654089613,2260.9141082485803,3166.9794767069334,1083.2660534006295,131935,423726.9994609191,서울특별시 노원구
11,서울특별시,은평구,2010,452819.0228148825,43.97331937392501,28.18138263683438,3906.3420986484257,1923.2083297262275,2853.105434910149,1017.7806130865048,88442,369721.1114324563,서울특별시 은평구
12,서울특별시,서대문구,2010,340806.8139639333,30.683353531359444,20.510705414030518,2960.115941210566,1435.3958399443047,2166.3316465128437,713.4005860993058,55987,280145.4228218803,서울특별시 서대문구
13,서울특별시,마포구,2010,389129.3843915947,35.141251641263004,22.73951271054449,3754.1231370062637,1493.9480530362587,2952.529056738481,794.472546780221,63925,322451.0063290694,서울특별시 마포구
14,서울특별시,양천구,2010,467215.1207118226,46.79427869127008,28.533830631013807,3723.8139506783427,1654.7499426744762,2613.6540608803584,948.0624351014021,113428,365598.7741711606,서울특별시 양천구
