행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,행정구역
강원특별자치도,고성군,2028,25734.0,-371.0,-49.0209145899434,11.0,13.0,107.0,316.0,103.0,60.0,-219.0,857.0,-7.287377950553985,3.0,강원특별자치도 고성군
강원특별자치도,고성군,2029,25655.0,-371.0,-49.030598706031675,11.0,13.0,107.0,315.0,103.0,50.0,-219.0,620.0,-7.287378758743031,3.0,강원특별자치도 고성군
강원특별자치도,고성군,2030,25584.0,-371.0,-49.02440485582865,11.0,13.0,107.0,316.0,103.0,60.0,-219.0,384.0,-7.287378607167436,3.0,강원특별자치도 고성군
강원특별자치도,동해시,2013,95143.0,1246.0,1.326985953,22.0,14.0,727.0,665.0,479.0,257.0,1174.0,18273.0,0.010946308,0.291,강원특별자치도 동해시
강원특별자치도,동해시,2014,94562.0,-581.0,-0.610659744,22.0,14.0,703.0,600.0,481.0,244.0,-699.0,17512.0,-4.164614458,1.114,강원특별자치도 동해시
강원특별자치도,동해시,2015,93895.0,-667.0,-0.705357332,22.0,14.0,667.0,681.0,475.0,201.0,-671.0,16903.0,-3.477615349,2.216,강원특별자치도 동해시
강원특별자치도,동해시,2016,93297.0,-598.0,-0.636881623,18.0,14.0,662.0,640.0,447.0,194.0,-631.0,16231.0,-3.975625629,2.164,강원특별자치도 동해시
강원특별자치도,동해시,2017,92851.0,-446.0,-0.478043238,17.0,14.0,561.0,625.0,419.0,218.0,-409.0,15703.0,-3.253034317,3.195,강원특별자치도 동해시
강원특별자치도,동해시,2018,91272.0,-1579.0,-1.700574038,17.0,14.0,472.0,731.0,375.0,190.0,-1359.0,15142.0,-3.572565752,2.906,강원특별자치도 동해시
강원특별자치도,동해시,2019,90522.0,-750.0,-0.821719695,17.0,14.0,422.0,624.0,382.0,254.0,-523.0,14536.0,-4.002113327,2.399,강원특별자치도 동해시
강원특별자치도,동해시,2020,90593.0,71.0,0.078433972,17.0,14.0,404.0,702.0,327.0,213.0,355.0,14221.0,-2.167033572,2.252,강원특별자치도 동해시
강원특별자치도,동해시,2021,90193.0,-156.0,-0.006336557819192734,17.0,14.0,390.0,644.0,307.0,237.0,-100.0,14221.0,-3.8570943954965413,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2022,89832.0,-241.0,-0.057050266216692035,17.0,14.0,380.0,683.0,287.0,222.0,-219.0,14222.0,-2.94921435789532,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2023,89505.0,-273.0,-0.0873895860830673,17.0,14.0,373.0,657.0,268.0,232.0,-250.0,14222.0,-3.436916428267867,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2024,89208.0,-285.0,-0.10553999075746932,17.0,14.0,368.0,674.0,250.0,226.0,-259.0,14222.0,-3.174928831234542,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2025,88941.0,-290.0,-0.11639841445633631,17.0,14.0,365.0,662.0,232.0,229.0,-261.0,14223.0,-3.3156653693158034,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2026,88698.0,-292.0,-0.12289443299361999,17.0,14.0,362.0,670.0,215.0,227.0,-261.0,14223.0,-3.2400634195464835,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2027,88479.0,-292.0,-0.12678065607783584,17.0,14.0,361.0,665.0,199.0,229.0,-261.0,14224.0,-3.2806758638118283,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2028,88281.0,-292.0,-0.12910557706961112,17.0,14.0,359.0,669.0,183.0,228.0,-261.0,14224.0,-3.2588593546577873,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2029,88101.0,-293.0,-0.13049645389290804,17.0,14.0,359.0,666.0,167.0,228.0,-261.0,14224.0,-3.2705789169810653,2.0,강원특별자치도 동해시
강원특별자치도,동해시,2030,87939.0,-293.0,-0.13132854166897795,17.0,14.0,358.0,668.0,153.0,228.0,-261.0,14225.0,-3.2642833112047507,2.0,강원특별자치도 동해시
강원특별자치도,삼척시,2013,73023.0,560.0,0.772808192,18.0,19.0,436.0,560.0,321.0,148.0,666.0,12966.0,-1.286638751,0.837,강원특별자치도 삼척시
강원특별자치도,삼척시,2014,72314.0,-709.0,-0.970926968,19.0,19.0,418.0,622.0,336.0,166.0,-519.0,12461.0,-3.894801789,1.287,강원특별자치도 삼척시
강원특별자치도,삼척시,2015,70839.0,-1475.0,-2.039715684,18.0,19.0,421.0,618.0,336.0,148.0,-1317.0,11764.0,-5.593451569,2.347,강원특별자치도 삼척시
강원특별자치도,삼척시,2016,69599.0,-1240.0,-1.750448199,18.0,19.0,381.0,608.0,289.0,150.0,-1025.0,11262.0,-4.267256035,1.869,강원특별자치도 삼척시
강원특별자치도,삼척시,2017,68514.0,-1085.0,-1.558930444,18.0,19.0,337.0,620.0,274.0,122.0,-738.0,10751.0,-4.537382348,2.53,강원특별자치도 삼척시
강원특별자치도,삼척시,2018,68326.0,-188.0,-0.274396474,17.0,19.0,341.0,667.0,298.0,141.0,128.0,10178.0,-5.329736769,2.293,강원특별자치도 삼척시
강원특별자치도,삼척시,2019,67228.0,-1098.0,-1.607001727,17.0,19.0,366.0,622.0,257.0,167.0,-868.0,9588.0,-5.796816663,2.076,강원특별자치도 삼척시
강원특별자치도,삼척시,2020,65243.0,-1985.0,-2.952638781,18.0,19.0,358.0,633.0,208.0,135.0,-1717.0,8756.0,-8.677513559,1.778,강원특별자치도 삼척시
강원특별자치도,삼척시,2021,64710.0,-1820.0,-2.712789375686561,18.0,19.0,345.0,632.0,204.0,148.0,-1532.0,7992.0,-10.297195525681985,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2022,64234.0,-1917.0,-2.855958065722579,18.0,19.0,347.0,632.0,205.0,147.0,-1641.0,7600.0,-10.053937965236955,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2023,63809.0,-1860.0,-2.770499134607685,18.0,19.0,346.0,632.0,205.0,147.0,-1576.0,7399.0,-10.090472446654248,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2024,63430.0,-1894.0,-2.8215104898520673,18.0,19.0,346.0,632.0,205.0,147.0,-1615.0,7296.0,-10.08498538869811,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2025,63091.0,-1874.0,-2.791061263189378,18.0,19.0,346.0,632.0,205.0,147.0,-1592.0,7243.0,-10.085809481550834,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2026,62789.0,-1886.0,-2.8092367341196067,18.0,19.0,346.0,632.0,205.0,147.0,-1605.0,7215.0,-10.08568571230412,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2027,62519.0,-1879.0,-2.7983876000120276,18.0,19.0,346.0,632.0,205.0,147.0,-1598.0,7201.0,-10.085704301018222,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2028,62278.0,-1883.0,-2.804863564862461,18.0,19.0,346.0,632.0,205.0,147.0,-1602.0,7194.0,-10.085701509207645,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2029,62063.0,-1880.0,-2.8009979917827854,18.0,19.0,346.0,632.0,205.0,147.0,-1599.0,7191.0,-10.085701928505411,2.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2030,61871.0,-1882.0,-2.803305393935117,18.0,19.0,346.0,632.0,205.0,147.0,-1601.0,7189.0,-10.085701865531721,2.0,강원특별자치도 삼척시
강원특별자치도,속초시,2013,83109.0,-470.0,-0.562342215,12.0,12.0,596.0,549.0,428.0,221.0,-532.0,15914.0,-4.167168493,0.343,강원특별자치도 속초시
강원특별자치도,속초시,2014,82432.0,-677.0,-0.814592884,12.0,12.0,609.0,563.0,442.0,212.0,-738.0,15098.0,-5.127560638,0.261,강원특별자치도 속초시
강원특별자치도,속초시,2015,81992.0,-440.0,-0.533773292,9.0,12.0,645.0,587.0,382.0,216.0,-536.0,14397.0,-4.642999073,2.763,강원특별자치도 속초시
강원특별자치도,속초시,2016,81793.0,-199.0,-0.242706606,9.0,12.0,517.0,581.0,353.0,190.0,-192.0,13900.0,-3.452108078,3.451,강원특별자치도 속초시
강원특별자치도,속초시,2017,82273.0,480.0,0.586847285,9.0,12.0,383.0,587.0,358.0,186.0,714.0,13432.0,-3.366906475,5.81,강원특별자치도 속초시
강원특별자치도,속초시,2018,81682.0,-591.0,-0.71834016,9.0,12.0,416.0,597.0,344.0,215.0,-427.0,12988.0,-3.305539011,4.953,강원특별자치도 속초시
강원특별자치도,속초시,2019,81786.0,104.0,0.127323033,11.0,12.0,414.0,568.0,316.0,211.0,246.0,12366.0,-4.789036033,3.033,강원특별자치도 속초시
강원특별자치도,속초시,2020,82665.0,879.0,1.074756071,10.0,12.0,415.0,612.0,312.0,226.0,1075.0,12111.0,-2.062105774,3.05,강원특별자치도 속초시
강원특별자치도,속초시,2021,82634.0,377.0,0.4944664954922321,10.0,12.0,437.0,580.0,321.0,219.0,635.0,12111.0,-3.7548597918064495,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2022,82621.0,382.0,0.5061720284167351,10.0,12.0,430.0,603.0,318.0,215.0,637.0,12111.0,-3.2074951927298194,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2023,82616.0,382.0,0.5059359057861903,10.0,12.0,432.0,587.0,319.0,214.0,637.0,12111.0,-3.3844896060767544,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2024,82614.0,382.0,0.5059406688240643,10.0,12.0,432.0,598.0,319.0,213.0,637.0,12111.0,-3.3272571463801053,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2025,82613.0,382.0,0.5059405727446257,10.0,12.0,432.0,590.0,319.0,213.0,637.0,12111.0,-3.3457636878069694,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2026,82613.0,382.0,0.5059405746827288,10.0,12.0,432.0,596.0,319.0,212.0,637.0,12111.0,-3.339779460020857,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2027,82613.0,382.0,0.5059405746436336,10.0,12.0,432.0,592.0,319.0,212.0,637.0,12111.0,-3.341714504574568,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2028,82613.0,382.0,0.5059405746444222,10.0,12.0,432.0,595.0,319.0,212.0,637.0,12111.0,-3.34108879352902,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2029,82613.0,382.0,0.5059405746444063,10.0,12.0,432.0,593.0,319.0,212.0,637.0,12111.0,-3.341291121848422,3.0,강원특별자치도 속초시
강원특별자치도,속초시,2030,82613.0,382.0,0.5059405746444067,10.0,12.0,432.0,594.0,319.0,212.0,637.0,12110.0,-3.3412256974818177,3.0,강원특별자치도 속초시
강원특별자치도,양구군,2013,23594.0,795.0,3.486995044,9.0,10.0,194.0,161.0,184.0,63.0,758.0,4257.0,-0.164165103,0.39,강원특별자치도 양구군
강원특별자치도,양구군,2014,23888.0,294.0,1.246079512,9.0,10.0,208.0,175.0,156.0,57.0,255.0,4213.0,-1.033591731,0.509,강원특별자치도 양구군
강원특별자치도,양구군,2015,24089.0,201.0,0.841426658,9.0,10.0,228.0,203.0,185.0,47.0,176.0,4070.0,-3.394255875,2.017,강원특별자치도 양구군
강원특별자치도,양구군,2016,24010.0,-79.0,-0.327950517,9.0,10.0,208.0,167.0,168.0,48.0,-142.0,3861.0,-5.135135135,2.228,강원특별자치도 양구군
강원특별자치도,양구군,2017,23835.0,-175.0,-0.728862974,9.0,10.0,201.0,173.0,172.0,44.0,-205.0,3743.0,-3.056203056,3.224,강원특별자치도 양구군
강원특별자치도,양구군,2018,23408.0,-427.0,-1.791483113,9.0,10.0,164.0,176.0,152.0,42.0,-410.0,3602.0,-3.767031793,2.858,강원특별자치도 양구군
강원특별자치도,양구군,2019,22764.0,-644.0,-2.751196172,9.0,10.0,171.0,186.0,135.0,55.0,-645.0,3409.0,-5.35813437,2.329,강원특별자치도 양구군
강원특별자치도,양구군,2020,22278.0,-486.0,-2.134949921,10.0,10.0,159.0,193.0,113.0,62.0,-463.0,3249.0,-4.693458492,1.386,강원특별자치도 양구군
강원특별자치도,양구군,2021,22009.0,-553.0,-2.414735358634198,10.0,10.0,166.0,180.0,123.0,62.0,-592.0,3133.0,-4.685229464395359,2.0,강원특별자치도 양구군
강원특별자치도,양구군,2022,21867.0,-614.0,-2.6721087727672717,10.0,10.0,159.0,179.0,113.0,62.0,-720.0,3048.0,-4.689368111282865,1.0,강원특별자치도 양구군
강원특별자치도,양구군,2023,21793.0,-671.0,-2.908865463403617,10.0,10.0,166.0,179.0,123.0,62.0,-849.0,2985.0,-4.68728665052196,2.0,강원특별자치도 양구군
강원특별자치도,양구군,2024,21754.0,-723.0,-3.1266569192534113,10.0,10.0,159.0,179.0,114.0,62.0,-978.0,2939.0,-4.688333485155827,1.0,강원특별자치도 양구군
강원특별자치도,양구군,2025,21733.0,-771.0,-3.3270023376391986,10.0,10.0,166.0,179.0,122.0,62.0,-1107.0,2904.0,-4.6878069978103785,2.0,강원특별자치도 양구군
강원특별자치도,양구군,2026,21722.0,-815.0,-3.5112992216081387,10.0,10.0,159.0,179.0,114.0,62.0,-1235.0,2879.0,-4.688071785500764,1.0,강원특별자치도 양구군
강원특별자치도,양구군,2027,21716.0,-856.0,-3.68083312816974,10.0,10.0,166.0,179.0,122.0,62.0,-1364.0,2860.0,-4.687938615118634,2.0,강원특별자치도 양구군
강원특별자치도,양구군,2028,21713.0,-893.0,-3.8367866356575915,10.0,10.0,159.0,179.0,114.0,62.0,-1493.0,2846.0,-4.6880055908555,1.0,강원특별자치도 양구군
강원특별자치도,양구군,2029,21712.0,-928.0,-3.98024759276664,10.0,10.0,166.0,179.0,122.0,62.0,-1621.0,2836.0,-4.687971906568822,2.0,강원특별자치도 양구군
강원특별자치도,양구군,2030,21711.0,-959.0,-4.112216706806909,10.0,10.0,159.0,179.0,115.0,62.0,-1750.0,2829.0,-4.687988847497315,1.0,강원특별자치도 양구군
강원특별자치도,양양군,2013,27659.0,-143.0,-0.514351486,15.0,14.0,146.0,266.0,124.0,61.0,-35.0,3868.0,-4.257425743,0.515,강원특별자치도 양양군
강원특별자치도,양양군,2014,27521.0,-138.0,-0.498933439,15.0,14.0,128.0,263.0,147.0,63.0,-25.0,3744.0,-3.205791107,0.653,강원특별자치도 양양군
강원특별자치도,양양군,2015,27479.0,-42.0,-0.152610734,15.0,14.0,134.0,266.0,109.0,59.0,82.0,3622.0,-3.258547009,2.52,강원특별자치도 양양군
강원특별자치도,양양군,2016,27218.0,-261.0,-0.949816223,15.0,14.0,133.0,295.0,99.0,78.0,-104.0,3423.0,-5.494202098,3.367,강원특별자치도 양양군
강원특별자치도,양양군,2017,27207.0,-11.0,-0.040414432,15.0,14.0,95.0,301.0,118.0,70.0,195.0,3309.0,-3.330411919,5.71,강원특별자치도 양양군
강원특별자치도,양양군,2018,27347.0,140.0,0.514573455,15.0,14.0,134.0,270.0,102.0,61.0,265.0,3227.0,-2.478090057,3.943,강원특별자치도 양양군
강원특별자치도,양양군,2019,27726.0,379.0,1.38589242,15.0,13.0,117.0,297.0,112.0,69.0,560.0,3157.0,-2.169197397,3.002,강원특별자치도 양양군
강원특별자치도,양양군,2020,27946.0,220.0,0.793479045,15.0,13.0,89.0,305.0,105.0,53.0,434.0,3046.0,-3.515996199,3.101,강원특별자치도 양양군
강원특별자치도,양양군,2021,27915.0,307.0,1.1139409497106758,15.0,13.0,111.0,299.0,108.0,65.0,546.0,2949.0,-3.4955701519346825,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2022,27898.0,220.0,0.7935153123081526,15.0,13.0,105.0,298.0,108.0,64.0,434.0,2853.0,-3.491270714086559,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2023,27888.0,307.0,1.1139046865069662,15.0,13.0,107.0,298.0,108.0,64.0,546.0,2759.0,-3.490365734001535,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2024,27882.0,220.0,0.7935515714078838,15.0,13.0,106.0,298.0,108.0,64.0,434.0,2667.0,-3.4901752465510305,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2025,27879.0,307.0,1.113868431510749,15.0,13.0,106.0,298.0,108.0,64.0,546.0,2576.0,-3.4901351512280505,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2026,27877.0,220.0,0.7935878223010511,15.0,13.0,106.0,298.0,108.0,64.0,434.0,2487.0,-3.4901267116436023,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2027,27876.0,307.0,1.113832184720167,15.0,13.0,106.0,298.0,108.0,64.0,546.0,2400.0,-3.4901249352123287,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2028,27875.0,220.0,0.7936240649895121,15.0,13.0,106.0,298.0,108.0,64.0,434.0,2314.0,-3.4901245612948584,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2029,27875.0,307.0,1.1137959461333629,15.0,13.0,106.0,298.0,108.0,64.0,546.0,2230.0,-3.490124482589717,3.0,강원특별자치도 양양군
강원특별자치도,양양군,2030,27875.0,220.0,0.7936602994751236,15.0,13.0,106.0,298.0,108.0,64.0,434.0,2147.0,-3.4901244660232287,3.0,강원특별자치도 양양군
강원특별자치도,영월군,2013,40150.0,-5.0,-0.01245175,15.0,13.0,182.0,412.0,175.0,80.0,212.0,6122.0,-1.623011409,1.193,강원특별자치도 영월군
강원특별자치도,영월군,2014,40191.0,41.0,0.102117061,15.0,13.0,172.0,413.0,144.0,77.0,272.0,5964.0,-2.580855929,1.983,강원특별자치도 영월군
강원특별자치도,영월군,2015,40216.0,25.0,0.062202981,15.0,13.0,166.0,412.0,168.0,82.0,271.0,5740.0,-3.755868545,1.806,강원특별자치도 영월군
강원특별자치도,영월군,2016,40073.0,-143.0,-0.355579869,15.0,13.0,163.0,406.0,182.0,91.0,69.0,5531.0,-3.641114983,1.63,강원특별자치도 영월군
강원특별자치도,영월군,2017,40067.0,-6.0,-0.014972675,15.0,13.0,142.0,447.0,139.0,77.0,336.0,5355.0,-3.182064726,2.946,강원특별자치도 영월군
강원특별자치도,영월군,2018,39730.0,-337.0,-0.841091172,15.0,13.0,122.0,405.0,145.0,75.0,-76.0,5146.0,-3.902894491,2.581,강원특별자치도 영월군
강원특별자치도,영월군,2019,39127.0,-603.0,-1.517744777,15.0,13.0,121.0,432.0,138.0,103.0,-303.0,4822.0,-6.296152351,2.542,강원특별자치도 영월군
강원특별자치도,영월군,2020,38662.0,-465.0,-1.188437652,14.0,13.0,123.0,404.0,106.0,94.0,-185.0,4576.0,-5.101617586,1.663,강원특별자치도 영월군
강원특별자치도,영월군,2021,38632.0,-465.0,-1.1951901109090295,14.0,13.0,123.0,427.0,120.0,89.0,-196.0,4329.0,-4.843529658117921,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2022,38626.0,-465.0,-1.1964554411419455,14.0,13.0,123.0,413.0,119.0,88.0,-196.0,4088.0,-5.006874467533136,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2023,38625.0,-465.0,-1.1966925489303677,14.0,13.0,123.0,421.0,119.0,88.0,-196.0,3852.0,-4.903492930156139,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2024,38625.0,-465.0,-1.196736980100878,14.0,13.0,123.0,416.0,119.0,88.0,-196.0,3622.0,-4.9689234896498515,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2025,38625.0,-465.0,-1.1967453059721034,14.0,13.0,123.0,419.0,119.0,88.0,-196.0,3397.0,-4.927512245202515,2.0,강원특별자치도 영월군
