,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
64,대전광역시,유성구,2010,281692,54,32,3201,912,1828,462,67011,214681,대전광역시 유성구
65,대전광역시,대덕구,2010,207549,34,20,1921,868,1216,516,46715,160834,대전광역시 대덕구
66,울산광역시,중구,2010,232915,29,20,1857,987,1476,579,50836,182079,울산광역시 중구
67,울산광역시,남구,2010,344131,45,30,3149,1157,2234,777,80134,263997,울산광역시 남구
68,울산광역시,동구,2010,170764,23,16,1979,608,1415,379,35222,135542,울산광역시 동구
69,울산광역시,북구,2010,177488,32,19,2285,568,1235,374,44216,133272,울산광역시 북구
70,울산광역시,울주군,2010,201000,52,33,2162,1008,1300,488,43452,157548,울산광역시 울주군
71,경기도,수원시,2010,1077535,167,88,11254,4043,7632,2478,243921,833614,경기도 수원시
72,경기도,성남시,2010,980190,115,66,9737,3618,7208,2178,198116,782074,경기도 성남시
73,경기도,의정부시,2010,431801,64,31,3919,1932,2563,1216,90338,341463,경기도 의정부시
74,경기도,안양시,2010,621714,82,40,5863,2150,4010,1238,133819,487895,경기도 안양시
75,경기도,부천시,2010,875204,114,62,8529,3178,5752,2105,182639,692565,경기도 부천시
76,경기도,광명시,2010,343982,47,23,3917,1306,2848,668,68038,275944,경기도 광명시
77,경기도,평택시,2010,419457,97,50,4386,2013,2714,1102,89820,329637,경기도 평택시
78,경기도,동두천시,2010,95653,20,11,990,581,638,313,18157,77496,경기도 동두천시
79,경기도,안산시,2010,714891,94,54,6916,2428,4762,2127,169380,545511,경기도 안산시
80,경기도,고양시,2010,950115,148,77,8280,3687,5367,2013,219030,731085,경기도 고양시
81,경기도,과천시,2010,72279,7,4,577,237,367,82,16882,55397,경기도 과천시
82,경기도,구리시,2010,196398,33,15,1958,773,1266,498,42489,153909,경기도 구리시
83,경기도,남양주시,2010,564141,90,53,5821,2404,3220,1365,118470,445671,경기도 남양주시
84,경기도,오산시,2010,182516,35,20,2624,566,1696,508,37843,144673,경기도 오산시
85,경기도,시흥시,2010,403797,58,36,4504,1426,2960,1184,93970,309827,경기도 시흥시
86,경기도,군포시,2010,287833,43,25,3491,939,2177,546,60693,227140,경기도 군포시
87,경기도,의왕시,2010,147443,20,11,1451,556,934,297,30830,116613,경기도 의왕시
88,경기도,하남시,2010,150479,22,13,1409,684,944,331,27382,123097,경기도 하남시
89,경기도,용인시,2010,876550,143,92,9727,2871,5516,1638,191613,684937,경기도 용인시
90,경기도,파주시,2010,355632,80,54,3784,1758,2212,816,71543,284089,경기도 파주시
91,경기도,이천시,2010,202595,49,31,2314,1019,1460,516,43007,159588,경기도 이천시
92,경기도,안성시,2010,177937,46,34,1844,1049,1252,413,34198,143739,경기도 안성시
93,경기도,김포시,2010,238339,52,31,2151,1022,1422,553,50645,187694,경기도 김포시
94,경기도,화성시,2010,505838,109,68,8207,1810,3947,1126,102533,403305,경기도 화성시
95,경기도,광주시,2010,249789,35,24,2539,1139,1630,677,48825,200964,경기도 광주시
96,경기도,양주시,2010,564141,90,53,5821,2404,3220,1365,39775,445671,경기도 양주시
97,경기도,포천시,2010,158658,42,32,1265,1043,987,518,31501,127157,경기도 포천시
98,경기도,연천군,2010,45177,16,13,367,415,271,101,7572,37605,경기도 연천군
99,경기도,가평군,2010,58890,18,13,417,573,331,136,9620,49270,경기도 가평군
100,경기도,양평군,2010,95833,28,21,611,752,536,224,15760,80073,경기도 양평군
101,강원특별자치도,춘천시,2010,269950,39,39,2276,1620,1545,576,55940,214010,강원특별자치도 춘천시
102,강원특별자치도,원주시,2010,314678,61,46,2939,1692,1855,771,68148,246530,강원특별자치도 원주시
103,강원특별자치도,강릉시,2010,218503,40,35,1641,1413,1071,487,43102,175401,강원특별자치도 강릉시
104,강원특별자치도,동해시,2010,95236,23,14,767,661,527,233,19184,76052,강원특별자치도 동해시
105,강원특별자치도,태백시,2010,50864,15,13,475,395,309,119,8730,42134,강원특별자치도 태백시
