distance,param,mape
1,0.1,5.242967380293067
1,0.2,4.67090523267709
1,0.30000000000000004,7.405307473943583
1,0.4,15.17443666509431
1,0.5,9.525736673853148
1,0.6000000000000001,6.210834197851446
1,0.7000000000000001,6.771027012597005
1,0.8,6.679340931613162
1,0.9,11.277375479308619
6,0.1,8.618154582504282
6,0.2,6.133796465319822
6,0.30000000000000004,12.241850200970147
6,0.4,12.271782749527992
6,0.5,9.732590382054381
6,0.6000000000000001,16.56942638135966
6,0.7000000000000001,6.589934296575834
6,0.8,9.053005803075234
6,0.9,7.790015224029315
11,0.1,15.647416917912885
11,0.2,15.53209206025151
11,0.30000000000000004,12.091507871045764
11,0.4,10.85454511504758
11,0.5,13.454513816778748
11,0.6000000000000001,9.417437370282517
11,0.7000000000000001,8.074823495169996
11,0.8,7.132440870242912
11,0.9,8.863808295583837
16,0.1,13.375078785996852
16,0.2,20.99754176527135
16,0.30000000000000004,31.16699375482054
16,0.4,15.1217612794588
16,0.5,14.17247887555371
16,0.6000000000000001,9.011086788490966
16,0.7000000000000001,19.570757465570043
16,0.8,14.93201941534274
16,0.9,9.545428116718204
21,0.1,7.635350657854137
21,0.2,12.099722831552642
21,0.30000000000000004,9.823338091949326
21,0.4,9.964258248509989
21,0.5,8.559150291843657
21,0.6000000000000001,12.316625645719604
21,0.7000000000000001,7.048352722896451
21,0.8,11.466122149711119
21,0.9,6.887900946745237
26,0.1,16.203266632144025
26,0.2,16.18676632265606
26,0.30000000000000004,15.805355724158424
26,0.4,9.921912077676629
26,0.5,13.535101265306256
26,0.6000000000000001,7.289590890327815
26,0.7000000000000001,7.895197628768523
26,0.8,8.646511222941648
