,행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률
0,서울특별시,종로구,2013,227257.36459780138,-3603.67259711004,0.8147009901311891,24.647479278203317,17.787659777951124,1590.6382223166393,1076.8341510471816,1374.5155832579283,486.62783686202243,-4296.660922285606,25113.0,-4.918468099272762,1.03828794423368
1,서울특별시,중구,2013,207559.84552536008,-2118.7030523205326,-27.059472925860092,21.919505528003807,16.42568683633973,1692.3956600274635,971.6822249155256,1365.5847906711244,466.9632813145991,-2968.123932494344,17356.0,-4.61971696573556,0.6424045401764165
2,서울특별시,용산구,2013,287180.7202956399,-2361.2450631436764,3.5052108088161034,25.118397599201476,18.728363038628935,2509.657770710866,1236.4108373706174,2052.2088236792447,564.7273711794555,-3795.849608480494,34734.0,-3.0940602064602825,-1.2126212996600216
3,서울특별시,성동구,2013,328132.82771956635,-206.9573434142586,2.2247507117031864,33.19944639400557,22.06119761668548,2970.723630818002,1411.5090711231928,2471.002320247805,676.7664835956099,-1937.3222812641716,46055.0,-3.0199024670615273,0.4320913551176925
4,서울특별시,광진구,2013,387950.4295159476,-1588.2950175291028,2.1771532261243447,40.80428743311167,24.356401467706117,3206.0196814164647,1459.5993314885495,2727.9735002484686,788.2472276747446,-3631.683165085925,60341.0,-3.735839245950515,0.6388949552505014
5,서울특별시,동대문구,2013,371140.29011980403,603.67154090876,2.483172767893277,35.31143828461671,22.75171800740179,2850.0611698790103,1752.0325091354305,2401.744536841895,762.0663519397716,-691.3740975851904,55157.0,-2.825864717805266,0.5959690178722733
6,서울특별시,중랑구,2013,412886.77468693926,-1628.009384899444,2.366406744320991,36.14179754949884,24.193440060367628,3313.2905763684257,1926.5841342175822,2745.193870923976,986.583300430383,-3169.0106767935094,66226.0,-4.046963180319854,0.5688064157000091
7,서울특별시,성북구,2013,447220.24065530056,-3663.6113570348703,1.931251023677128,51.06242748027054,28.242713406978414,3635.8849241576772,2005.2642944116665,2712.412680434373,895.764823806957,-5536.150850874405,78474.0,-2.946872771195271,0.35570436456839905
8,서울특별시,강북구,2013,361398.31153652235,-3101.5481523301937,2.4152465085889356,30.70019999556633,18.78365792508887,2784.644843425076,1729.5755471420366,2175.6355526156945,858.1529852962879,-4325.717853918072,52743.0,-3.658148779956492,0.5479712841206996
9,서울특별시,도봉구,2013,379489.03571836464,-2634.9506839214405,2.3087704500110084,37.04550862894692,25.399642910136194,2844.3363490172223,1749.5514397289617,2250.994176922633,835.0822912173509,-3905.365614959588,62434.0,-3.683254974084096,0.3641912744507119
10,서울특별시,노원구,2013,530659.615665601,-4669.291419500588,2.072892270917311,62.288391206582084,37.67889552932059,4237.959574389291,2283.7163797443677,3145.9186628173466,1012.349677431907,-6861.129574323654,118454.0,-3.676126690427968,0.45823642172591267
11,서울특별시,은평구,2013,470365.5406653052,1626.2718228247754,6.674973281185115,47.80803012073972,30.06951791075995,3908.917461209223,2125.465733180163,3066.5457301008687,1001.9638594083073,-388.19738145880785,84399.0,-2.5412048284176505,0.7655517225979597
12,서울특별시,서대문구,2013,339974.665063878,-632.9798625618341,5.767391822769321,31.660144305167204,20.998419955123847,2675.044358436601,1533.1046031192702,2179.818275267774,683.1711027846322,-1936.3909828673932,50389.0,-3.434518911289679,0.598746040532364
13,서울특별시,마포구,2013,389437.81219678005,-1804.1187054160946,9.349421572786799,34.146735175198636,23.929975880319816,3369.136276938214,1573.14563837244,2898.5085101810846,762.3358419917569,-3823.5156945871367,59499.0,-2.6554602495070343,0.8920658296065938
14,서울특별시,양천구,2013,469467.42675924656,-2242.833177168486,12.65723603198414,47.94280649006814,29.716036990706897,3589.988919591545,1784.3706460935098,2706.5139540722485,905.3557119905928,-4402.089437483109,103289.0,-3.2580498895148513,0.8317191530351027
15,서울특별시,강서구,2013,523429.77308562404,1364.0341095855724,536.1350632560421,46.413250787645616,34.125735499468504,4732.589891091487,2216.069260934239,3852.4271534143395,1095.912206837865,-1502.3450376252679,94391.0,-3.3104941190842005,1.0315586581762157
16,서울특별시,구로구,2013,421211.43331659486,-1712.1467846096052,7.138739560101868,38.925090919133346,25.458919142862012,4195.939901476681,1670.4603241477157,3172.7845858490937,880.6836365656111,-4633.316613380949,65498.0,-2.7529148507015133,0.7035905878418659
17,서울특별시,금천구,2013,294715.6306616587,-1384.519430304298,4.822431742821271,28.418271004032633,21.55144228088623,2330.5556276290367,1271.5541250830233,1961.5981714901766,705.1450616955743,-2724.828401472487,37205.0,-4.313869000673468,0.9080942426545993
18,서울특별시,영등포구,2013,395555.2612155111,-3319.6116802801207,9.41389461218645,42.59315856365268,24.711251526484258,3495.003590385833,1653.5056117224983,2993.0925872645257,834.4020079832194,-5713.676055941221,56435.0,-4.202990432708943,0.6515022593894922
19,서울특별시,동작구,2013,408910.08859579806,3676.8510447459253,6.592830516987556,35.300419986895236,23.083873531043462,3646.479351339487,1621.7936118476046,3009.082457901773,718.3218378333945,1447.9195813211177,61976.0,-1.928698725643522,0.6799636064348463
20,서울특별시,관악구,2013,482915.68972748594,-3250.1503508178557,4.154025307150399,39.16386881899382,23.962650613686304,3950.617215975476,1912.9238895648455,3728.639449421774,1014.9269061412813,-5647.639244943316,69798.0,-3.5837370486105544,0.8163899428608061
