행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
강원특별자치도,고성군,2032,27275.0,11.0,13.0,106.0,343.0,109.0,59.0,2453.0,24183.0,강원특별자치도 고성군
강원특별자치도,동해시,2010,95236.0,23.0,14.0,767.0,661.0,527.0,233.0,19184.0,76052.0,강원특별자치도 동해시
강원특별자치도,동해시,2011,95804.0,22.0,14.0,792.0,595.0,522.0,202.0,19138.0,76666.0,강원특별자치도 동해시
강원특별자치도,동해시,2012,93897.0,22.0,14.0,769.0,655.0,500.0,203.0,18271.0,75626.0,강원특별자치도 동해시
강원특별자치도,동해시,2013,95143.0,22.0,14.0,727.0,665.0,479.0,257.0,18273.0,76870.0,강원특별자치도 동해시
강원특별자치도,동해시,2014,94562.0,22.0,14.0,703.0,600.0,481.0,244.0,17512.0,77050.0,강원특별자치도 동해시
강원특별자치도,동해시,2015,93895.0,22.0,14.0,667.0,681.0,475.0,201.0,16903.0,76992.0,강원특별자치도 동해시
강원특별자치도,동해시,2016,93297.0,18.0,14.0,662.0,640.0,447.0,194.0,16231.0,77066.0,강원특별자치도 동해시
강원특별자치도,동해시,2017,92851.0,17.0,14.0,561.0,625.0,419.0,218.0,15703.0,77148.0,강원특별자치도 동해시
강원특별자치도,동해시,2018,91272.0,17.0,14.0,472.0,731.0,375.0,190.0,15142.0,76130.0,강원특별자치도 동해시
강원특별자치도,동해시,2019,90522.0,17.0,14.0,422.0,624.0,382.0,254.0,14536.0,75986.0,강원특별자치도 동해시
강원특별자치도,동해시,2020,90593.0,17.0,14.0,404.0,702.0,327.0,213.0,14221.0,76372.0,강원특별자치도 동해시
강원특별자치도,동해시,2021,90081.0,17.0,14.0,422.0,680.0,339.0,187.0,13709.0,76372.0,강원특별자치도 동해시
강원특별자치도,동해시,2022,89426.0,15.0,14.0,374.0,856.0,300.0,184.0,13210.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2023,89055.0,15.0,14.0,351.0,699.0,283.0,209.0,13318.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2024,88694.0,15.0,14.0,335.0,797.0,266.0,213.0,13418.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2025,88344.0,15.0,14.0,324.0,736.0,249.0,213.0,13509.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2026,88003.0,15.0,14.0,317.0,774.0,232.0,213.0,13593.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2027,87671.0,15.0,14.0,312.0,750.0,215.0,213.0,13670.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2028,87349.0,15.0,14.0,309.0,765.0,199.0,213.0,13741.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2029,87037.0,15.0,14.0,307.0,756.0,182.0,213.0,13805.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2030,86732.0,15.0,14.0,305.0,761.0,165.0,213.0,13865.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2031,86437.0,15.0,14.0,304.0,758.0,148.0,213.0,13920.0,76216.0,강원특별자치도 동해시
강원특별자치도,동해시,2032,86149.0,15.0,14.0,303.0,760.0,131.0,213.0,13970.0,76216.0,강원특별자치도 동해시
강원특별자치도,삼척시,2010,72046.0,20.0,20.0,478.0,590.0,358.0,160.0,13494.0,58552.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2011,72312.0,20.0,19.0,473.0,608.0,384.0,159.0,13410.0,58902.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2012,72463.0,18.0,19.0,522.0,570.0,316.0,181.0,13135.0,59328.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2013,73023.0,18.0,19.0,436.0,560.0,321.0,148.0,12966.0,60057.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2014,72314.0,19.0,19.0,418.0,622.0,336.0,166.0,12461.0,59853.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2015,70839.0,18.0,19.0,421.0,618.0,336.0,148.0,11764.0,59075.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2016,69599.0,18.0,19.0,381.0,608.0,289.0,150.0,11262.0,58337.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2017,68514.0,18.0,19.0,337.0,620.0,274.0,122.0,10751.0,57763.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2018,68326.0,17.0,19.0,341.0,667.0,298.0,141.0,10178.0,58148.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2019,67228.0,17.0,19.0,366.0,622.0,257.0,167.0,9588.0,57640.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2020,65243.0,18.0,19.0,358.0,633.0,208.0,135.0,8756.0,56487.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2021,63429.0,18.0,18.0,287.0,680.0,181.0,132.0,8350.0,55079.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2022,63455.0,17.0,18.0,295.0,754.0,190.0,103.0,8113.0,55342.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2023,63098.0,17.0,18.0,289.0,763.0,190.0,122.0,7925.0,55322.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2024,62757.0,17.0,18.0,295.0,761.0,190.0,121.0,7786.0,55312.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2025,62430.0,17.0,18.0,289.0,761.0,190.0,121.0,7683.0,55307.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2026,62117.0,17.0,18.0,295.0,761.0,190.0,121.0,7607.0,55305.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2027,61818.0,17.0,18.0,289.0,761.0,190.0,121.0,7551.0,55304.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2028,61533.0,17.0,18.0,295.0,761.0,190.0,121.0,7509.0,55303.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2029,61259.0,17.0,18.0,289.0,761.0,190.0,121.0,7478.0,55303.0,강원특별자치도 삼척시
