행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
부산광역시,연제구,2045,186575.0,23.0,17.0,290.0,37813.0,186.0,25.0,12874.0,부산광역시 연제구
부산광역시,연제구,2046,185873.0,23.0,17.0,276.0,44098.0,176.0,22.0,12483.0,부산광역시 연제구
부산광역시,연제구,2047,185173.0,23.0,17.0,263.0,49877.0,167.0,20.0,12103.0,부산광역시 연제구
부산광역시,연제구,2048,184478.0,23.0,17.0,250.0,58066.0,158.0,18.0,11735.0,부산광역시 연제구
부산광역시,연제구,2049,183786.0,23.0,17.0,237.0,65783.0,150.0,16.0,11378.0,부산광역시 연제구
부산광역시,연제구,2050,183097.0,24.0,17.0,226.0,76467.0,142.0,14.0,11033.0,부산광역시 연제구
부산광역시,연제구,2051,182412.0,24.0,17.0,215.0,86753.0,134.0,13.0,10697.0,부산광역시 연제구
부산광역시,연제구,2052,181727.0,24.0,17.0,204.0,100878.0,127.0,11.0,10372.0,부산광역시 연제구
부산광역시,연제구,2053,181041.0,24.0,17.0,194.0,114495.0,121.0,10.0,10056.0,부산광역시 연제구
부산광역시,연제구,2054,180360.0,25.0,17.0,185.0,132881.0,114.0,9.0,9751.0,부산광역시 연제구
부산광역시,연제구,2055,179682.0,25.0,17.0,176.0,151000.0,108.0,8.0,9454.0,부산광역시 연제구
부산광역시,연제구,2056,179010.0,25.0,17.0,167.0,175290.0,103.0,7.0,9167.0,부산광역시 연제구
부산광역시,연제구,2057,178340.0,25.0,17.0,159.0,199525.0,97.0,7.0,8888.0,부산광역시 연제구
부산광역시,연제구,2058,177671.0,26.0,17.0,151.0,231378.0,92.0,6.0,8618.0,부산광역시 연제구
부산광역시,연제구,2059,177003.0,26.0,17.0,144.0,263627.0,87.0,5.0,8356.0,부산광역시 연제구
부산광역시,영도구,2010,146798.0,16.0,14.0,894.0,1143.0,800.0,390.0,23487.0,부산광역시 영도구
부산광역시,영도구,2011,143205.0,15.0,14.0,851.0,1061.0,757.0,342.0,22071.0,부산광역시 영도구
부산광역시,영도구,2012,139765.0,15.0,14.0,793.0,1103.0,703.0,332.0,20988.0,부산광역시 영도구
부산광역시,영도구,2013,135816.0,15.0,14.0,684.0,1092.0,698.0,326.0,19696.0,부산광역시 영도구
부산광역시,영도구,2014,132102.0,15.0,14.0,653.0,1115.0,611.0,307.0,18313.0,부산광역시 영도구
부산광역시,영도구,2015,129385.0,15.0,14.0,634.0,1104.0,546.0,306.0,17138.0,부산광역시 영도구
부산광역시,영도구,2016,126362.0,15.0,14.0,619.0,1111.0,521.0,292.0,16106.0,부산광역시 영도구
부산광역시,영도구,2017,123521.0,14.0,14.0,469.0,1095.0,436.0,284.0,15130.0,부산광역시 영도구
부산광역시,영도구,2018,120109.0,13.0,14.0,404.0,1144.0,413.0,270.0,14158.0,부산광역시 영도구
부산광역시,영도구,2019,116711.0,12.0,14.0,346.0,1158.0,366.0,259.0,13163.0,부산광역시 영도구
부산광역시,영도구,2020,113342.0,12.0,14.0,289.0,1214.0,307.0,260.0,12218.0,부산광역시 영도구
부산광역시,영도구,2021,110638.0,12.0,14.0,266.0,1342.0,304.0,238.0,11598.0,부산광역시 영도구
부산광역시,영도구,2022,108156.0,12.0,14.0,321.0,1437.0,286.0,194.0,10975.0,부산광역시 영도구
부산광역시,영도구,2023,105731.0,13.0,15.0,338.0,1580.0,262.0,157.0,10335.0,부산광역시 영도구
부산광역시,영도구,2024,103359.0,13.0,15.0,333.0,1700.0,240.0,127.0,9715.0,부산광역시 영도구
부산광역시,영도구,2025,101040.0,12.0,15.0,319.0,1860.0,220.0,102.0,9131.0,부산광역시 영도구
부산광역시,영도구,2026,98773.0,12.0,15.0,302.0,2008.0,202.0,83.0,8580.0,부산광역시 영도구
부산광역시,영도구,2027,96558.0,12.0,15.0,284.0,2192.0,185.0,67.0,8064.0,부산광역시 영도구
부산광역시,영도구,2028,94392.0,12.0,15.0,266.0,2372.0,170.0,54.0,7578.0,부산광역시 영도구
부산광역시,영도구,2029,92274.0,12.0,15.0,249.0,2582.0,156.0,44.0,7121.0,부산광역시 영도구
부산광역시,영도구,2030,90204.0,11.0,15.0,233.0,2796.0,143.0,35.0,6691.0,부산광역시 영도구
부산광역시,영도구,2031,88180.0,11.0,15.0,218.0,3042.0,131.0,28.0,6288.0,부산광역시 영도구
부산광역시,영도구,2032,86202.0,11.0,15.0,204.0,3296.0,120.0,23.0,5908.0,부산광역시 영도구
부산광역시,영도구,2033,84268.0,11.0,15.0,191.0,3583.0,110.0,19.0,5552.0,부산광역시 영도구
부산광역시,영도구,2034,82378.0,11.0,15.0,179.0,3885.0,101.0,15.0,5217.0,부산광역시 영도구
부산광역시,영도구,2035,80530.0,11.0,15.0,167.0,4222.0,93.0,12.0,4902.0,부산광역시 영도구
부산광역시,영도구,2036,78723.0,10.0,15.0,157.0,4580.0,85.0,10.0,4607.0,부산광역시 영도구
부산광역시,영도구,2037,76957.0,10.0,15.0,147.0,4975.0,78.0,8.0,4329.0,부산광역시 영도구
부산광역시,영도구,2038,75231.0,10.0,15.0,137.0,5397.0,72.0,6.0,4068.0,부산광역시 영도구
부산광역시,영도구,2039,73543.0,10.0,15.0,128.0,5863.0,66.0,5.0,3822.0,부산광역시 영도구
부산광역시,영도구,2040,71893.0,10.0,15.0,120.0,6361.0,60.0,4.0,3592.0,부산광역시 영도구
부산광역시,영도구,2041,70281.0,10.0,15.0,112.0,6908.0,55.0,3.0,3375.0,부산광역시 영도구
부산광역시,영도구,2042,68704.0,9.0,15.0,105.0,7497.0,51.0,3.0,3172.0,부산광역시 영도구
부산광역시,영도구,2043,67163.0,9.0,15.0,98.0,8140.0,46.0,2.0,2980.0,부산광역시 영도구
부산광역시,영도구,2044,65656.0,9.0,15.0,92.0,8834.0,43.0,2.0,2801.0,부산광역시 영도구
부산광역시,영도구,2045,64183.0,9.0,15.0,86.0,9592.0,39.0,1.0,2632.0,부산광역시 영도구
부산광역시,영도구,2046,62743.0,9.0,15.0,81.0,10411.0,36.0,1.0,2473.0,부산광역시 영도구
부산광역시,영도구,2047,61336.0,9.0,15.0,75.0,11302.0,33.0,1.0,2324.0,부산광역시 영도구
부산광역시,영도구,2048,59960.0,8.0,15.0,70.0,12268.0,30.0,1.0,2183.0,부산광역시 영도구
부산광역시,영도구,2049,58615.0,8.0,15.0,66.0,13318.0,28.0,1.0,2051.0,부산광역시 영도구
부산광역시,영도구,2050,57300.0,8.0,15.0,62.0,14455.0,25.0,0.0,1928.0,부산광역시 영도구
부산광역시,영도구,2051,56014.0,8.0,15.0,58.0,15692.0,23.0,0.0,1811.0,부산광역시 영도구
부산광역시,영도구,2052,54758.0,8.0,15.0,54.0,17033.0,21.0,0.0,1702.0,부산광역시 영도구
부산광역시,영도구,2053,53529.0,8.0,15.0,51.0,18491.0,20.0,0.0,1599.0,부산광역시 영도구
부산광역시,영도구,2054,52329.0,8.0,15.0,47.0,20071.0,18.0,0.0,1503.0,부산광역시 영도구
부산광역시,영도구,2055,51155.0,8.0,15.0,44.0,21788.0,16.0,0.0,1412.0,부산광역시 영도구
부산광역시,영도구,2056,50007.0,7.0,15.0,41.0,23651.0,15.0,0.0,1327.0,부산광역시 영도구
부산광역시,영도구,2057,48885.0,7.0,15.0,39.0,25673.0,14.0,0.0,1247.0,부산광역시 영도구
부산광역시,영도구,2058,47789.0,7.0,15.0,36.0,27868.0,13.0,0.0,1171.0,부산광역시 영도구
부산광역시,영도구,2059,46717.0,7.0,15.0,34.0,30251.0,12.0,0.0,1101.0,부산광역시 영도구
부산광역시,중구,2010,49442.0,2.0,5.0,355.0,380.0,293.0,146.0,6794.0,부산광역시 중구
부산광역시,중구,2011,48686.0,2.0,5.0,324.0,351.0,296.0,147.0,6494.0,부산광역시 중구
부산광역시,중구,2012,48148.0,2.0,5.0,298.0,365.0,315.0,157.0,6202.0,부산광역시 중구
부산광역시,중구,2013,47345.0,2.0,5.0,266.0,349.0,305.0,142.0,5917.0,부산광역시 중구
부산광역시,중구,2014,46737.0,3.0,5.0,264.0,374.0,297.0,123.0,5469.0,부산광역시 중구
부산광역시,중구,2015,45816.0,3.0,5.0,257.0,357.0,261.0,94.0,5159.0,부산광역시 중구
부산광역시,중구,2016,45208.0,4.0,4.0,211.0,392.0,214.0,119.0,4862.0,부산광역시 중구
부산광역시,중구,2017,44218.0,4.0,4.0,174.0,374.0,224.0,103.0,4500.0,부산광역시 중구
부산광역시,중구,2018,42795.0,4.0,4.0,163.0,367.0,184.0,108.0,4053.0,부산광역시 중구
부산광역시,중구,2019,41910.0,4.0,4.0,112.0,409.0,163.0,91.0,3774.0,부산광역시 중구
부산광역시,중구,2020,41523.0,5.0,4.0,94.0,383.0,135.0,100.0,3509.0,부산광역시 중구
부산광역시,중구,2021,40524.0,4.0,4.0,83.0,436.0,164.0,101.0,3231.0,부산광역시 중구
부산광역시,중구,2022,39689.0,4.0,4.0,101.0,472.0,125.0,100.0,3008.0,부산광역시 중구
부산광역시,중구,2023,38931.0,5.0,5.0,99.0,498.0,129.0,97.0,2791.0,부산광역시 중구
부산광역시,중구,2024,38164.0,5.0,5.0,92.0,534.0,113.0,94.0,2591.0,부산광역시 중구
부산광역시,중구,2025,37441.0,5.0,5.0,84.0,565.0,108.0,91.0,2404.0,부산광역시 중구
부산광역시,중구,2026,36733.0,5.0,5.0,76.0,604.0,98.0,88.0,2231.0,부산광역시 중구
부산광역시,중구,2027,36038.0,5.0,5.0,69.0,641.0,92.0,85.0,2070.0,부산광역시 중구
부산광역시,중구,2028,35355.0,5.0,5.0,63.0,683.0,85.0,83.0,1921.0,부산광역시 중구
부산광역시,중구,2029,34686.0,5.0,4.0,57.0,726.0,79.0,80.0,1783.0,부산광역시 중구
부산광역시,중구,2030,34030.0,5.0,4.0,52.0,773.0,73.0,77.0,1654.0,부산광역시 중구
부산광역시,중구,2031,33385.0,5.0,4.0,47.0,822.0,67.0,75.0,1535.0,부산광역시 중구
부산광역시,중구,2032,32754.0,5.0,4.0,43.0,875.0,62.0,72.0,1425.0,부산광역시 중구
부산광역시,중구,2033,32134.0,5.0,4.0,39.0,931.0,58.0,70.0,1322.0,부산광역시 중구
부산광역시,중구,2034,31525.0,5.0,4.0,35.0,991.0,54.0,68.0,1227.0,부산광역시 중구
부산광역시,중구,2035,30929.0,5.0,4.0,32.0,1054.0,50.0,66.0,1139.0,부산광역시 중구
부산광역시,중구,2036,30343.0,5.0,4.0,29.0,1122.0,47.0,64.0,1057.0,부산광역시 중구
부산광역시,중구,2037,29769.0,5.0,4.0,26.0,1194.0,44.0,62.0,981.0,부산광역시 중구
부산광역시,중구,2038,29205.0,5.0,4.0,24.0,1270.0,41.0,60.0,910.0,부산광역시 중구
부산광역시,중구,2039,28653.0,6.0,4.0,22.0,1352.0,38.0,58.0,845.0,부산광역시 중구
부산광역시,중구,2040,28110.0,6.0,4.0,20.0,1439.0,35.0,56.0,784.0,부산광역시 중구
부산광역시,중구,2041,27578.0,6.0,4.0,18.0,1531.0,33.0,54.0,727.0,부산광역시 중구
부산광역시,중구,2042,27056.0,6.0,4.0,16.0,1629.0,31.0,52.0,675.0,부산광역시 중구
부산광역시,중구,2043,26544.0,6.0,4.0,15.0,1733.0,28.0,51.0,626.0,부산광역시 중구
부산광역시,중구,2044,26042.0,6.0,4.0,13.0,1844.0,26.0,49.0,581.0,부산광역시 중구
부산광역시,중구,2045,25549.0,6.0,4.0,12.0,1963.0,25.0,47.0,539.0,부산광역시 중구
부산광역시,중구,2046,25065.0,6.0,3.0,11.0,2088.0,23.0,46.0,501.0,부산광역시 중구
부산광역시,중구,2047,24591.0,6.0,3.0,10.0,2222.0,21.0,44.0,465.0,부산광역시 중구
부산광역시,중구,2048,24125.0,6.0,3.0,9.0,2365.0,20.0,43.0,431.0,부산광역시 중구
부산광역시,중구,2049,23669.0,6.0,3.0,8.0,2516.0,18.0,42.0,400.0,부산광역시 중구
부산광역시,중구,2050,23221.0,6.0,3.0,8.0,2678.0,17.0,40.0,371.0,부산광역시 중구
부산광역시,중구,2051,22781.0,6.0,3.0,7.0,2849.0,16.0,39.0,345.0,부산광역시 중구
