연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,Type,DataSetID
2014,27143.0,2064.0,8.229993221,14.0,13.0,248.0,176.0,212.0,57.0,1978.0,4205.0,6.834349593,0.634,Train,49
2015,27020.0,-123.0,-0.45315551,14.0,13.0,267.0,189.0,236.0,46.0,-205.0,3906.0,-7.11058264,2.01,Train,49
2016,26264.0,-756.0,-2.797927461,14.0,13.0,221.0,201.0,190.0,69.0,-782.0,3569.0,-8.627752176,2.163,Train,49
2017,26022.0,-242.0,-0.921413341,14.0,13.0,199.0,200.0,196.0,49.0,-256.0,3493.0,-2.129448025,3.247,Train,49
2018,25084.0,-938.0,-3.604642226,14.0,13.0,202.0,204.0,190.0,60.0,-930.0,3266.0,-6.498711709,2.801,Predict,49
2014,27143.0,2064.0,8.229993221,14.0,13.0,248.0,176.0,212.0,57.0,1978.0,4205.0,6.834349593,0.634,Train,50
2015,27020.0,-123.0,-0.45315551,14.0,13.0,267.0,189.0,236.0,46.0,-205.0,3906.0,-7.11058264,2.01,Train,50
2016,26264.0,-756.0,-2.797927461,14.0,13.0,221.0,201.0,190.0,69.0,-782.0,3569.0,-8.627752176,2.163,Train,50
2017,26022.0,-242.0,-0.921413341,14.0,13.0,199.0,200.0,196.0,49.0,-256.0,3493.0,-2.129448025,3.247,Train,50
2018,25084.0,-938.0,-3.604642226,14.0,13.0,202.0,204.0,190.0,60.0,-930.0,3266.0,-6.498711709,2.801,Train,50
2019,24917.0,-167.0,-0.665763036,14.0,13.0,195.0,202.0,177.0,59.0,-176.0,3195.0,-2.173913043,2.12,Predict,50
2015,27020.0,-123.0,-0.45315551,14.0,13.0,267.0,189.0,236.0,46.0,-205.0,3906.0,-7.11058264,2.01,Train,51
2016,26264.0,-756.0,-2.797927461,14.0,13.0,221.0,201.0,190.0,69.0,-782.0,3569.0,-8.627752176,2.163,Train,51
2017,26022.0,-242.0,-0.921413341,14.0,13.0,199.0,200.0,196.0,49.0,-256.0,3493.0,-2.129448025,3.247,Train,51
2018,25084.0,-938.0,-3.604642226,14.0,13.0,202.0,204.0,190.0,60.0,-930.0,3266.0,-6.498711709,2.801,Train,51
2019,24917.0,-167.0,-0.665763036,14.0,13.0,195.0,202.0,177.0,59.0,-176.0,3195.0,-2.173913043,2.12,Train,51
2020,24857.0,-60.0,-0.240799454,13.0,13.0,150.0,205.0,123.0,60.0,-12.0,3077.0,-3.693270736,1.366,Predict,51
2013,44937.0,322.0,0.72173036,14.0,16.0,204.0,450.0,194.0,90.0,545.0,6765.0,-2.549697494,1.337,Train,52
2014,45373.0,436.0,0.970247235,13.0,16.0,207.0,480.0,211.0,107.0,685.0,6648.0,-1.729490022,1.182,Train,52
2015,45777.0,404.0,0.890397373,13.0,16.0,230.0,434.0,170.0,92.0,579.0,6588.0,-0.902527076,2.462,Train,52
2016,45991.0,214.0,0.467483671,13.0,16.0,208.0,453.0,169.0,108.0,424.0,6353.0,-3.567091682,2.568,Train,52
2017,46281.0,290.0,0.630558153,13.0,16.0,174.0,479.0,172.0,88.0,593.0,6188.0,-2.597198174,3.508,Train,52
2018,46726.0,445.0,0.961517685,13.0,16.0,149.0,509.0,174.0,106.0,800.0,5941.0,-3.991596639,2.864,Predict,52
2014,45373.0,436.0,0.970247235,13.0,16.0,207.0,480.0,211.0,107.0,685.0,6648.0,-1.729490022,1.182,Train,53
2015,45777.0,404.0,0.890397373,13.0,16.0,230.0,434.0,170.0,92.0,579.0,6588.0,-0.902527076,2.462,Train,53
2016,45991.0,214.0,0.467483671,13.0,16.0,208.0,453.0,169.0,108.0,424.0,6353.0,-3.567091682,2.568,Train,53
2017,46281.0,290.0,0.630558153,13.0,16.0,174.0,479.0,172.0,88.0,593.0,6188.0,-2.597198174,3.508,Train,53
2018,46726.0,445.0,0.961517685,13.0,16.0,149.0,509.0,174.0,106.0,800.0,5941.0,-3.991596639,2.864,Train,53
2019,46575.0,-151.0,-0.323160553,13.0,16.0,179.0,533.0,184.0,110.0,174.0,5679.0,-4.410031981,2.391,Predict,53
2015,45777.0,404.0,0.890397373,13.0,16.0,230.0,434.0,170.0,92.0,579.0,6588.0,-0.902527076,2.462,Train,54
2016,45991.0,214.0,0.467483671,13.0,16.0,208.0,453.0,169.0,108.0,424.0,6353.0,-3.567091682,2.568,Train,54
2017,46281.0,290.0,0.630558153,13.0,16.0,174.0,479.0,172.0,88.0,593.0,6188.0,-2.597198174,3.508,Train,54
2018,46726.0,445.0,0.961517685,13.0,16.0,149.0,509.0,174.0,106.0,800.0,5941.0,-3.991596639,2.864,Train,54
2019,46575.0,-151.0,-0.323160553,13.0,16.0,179.0,533.0,184.0,110.0,174.0,5679.0,-4.410031981,2.391,Train,54
2020,46472.0,-103.0,-0.221148685,14.0,16.0,159.0,516.0,131.0,96.0,251.0,5394.0,-5.018489171,1.68,Predict,54
2013,61017.0,223.0,0.366812514,16.0,13.0,359.0,519.0,275.0,145.0,342.0,9316.0,-3.511134127,0.316,Train,55
2014,61213.0,196.0,0.321221955,16.0,13.0,366.0,519.0,280.0,165.0,314.0,9070.0,-2.640618291,0.756,Train,55
2015,62008.0,795.0,1.298743731,16.0,13.0,360.0,544.0,315.0,170.0,922.0,8861.0,-2.30429989,0.836,Train,55
2016,62448.0,440.0,0.70958586,16.0,13.0,363.0,608.0,269.0,143.0,651.0,8599.0,-2.956776887,1.41,Train,55
2017,62973.0,525.0,0.840699462,16.0,13.0,362.0,605.0,269.0,147.0,778.0,8367.0,-2.697988138,2.303,Train,55
2018,62918.0,-55.0,-0.087339018,15.0,13.0,301.0,662.0,244.0,177.0,300.0,8094.0,-3.262818214,2.922,Predict,55
2014,61213.0,196.0,0.321221955,16.0,13.0,366.0,519.0,280.0,165.0,314.0,9070.0,-2.640618291,0.756,Train,56
2015,62008.0,795.0,1.298743731,16.0,13.0,360.0,544.0,315.0,170.0,922.0,8861.0,-2.30429989,0.836,Train,56
2016,62448.0,440.0,0.70958586,16.0,13.0,363.0,608.0,269.0,143.0,651.0,8599.0,-2.956776887,1.41,Train,56
2017,62973.0,525.0,0.840699462,16.0,13.0,362.0,605.0,269.0,147.0,778.0,8367.0,-2.697988138,2.303,Train,56
2018,62918.0,-55.0,-0.087339018,15.0,13.0,301.0,662.0,244.0,177.0,300.0,8094.0,-3.262818214,2.922,Train,56
2019,62415.0,-503.0,-0.799453257,14.0,13.0,261.0,642.0,272.0,139.0,-204.0,7755.0,-4.18828762,2.856,Predict,56
2015,62008.0,795.0,1.298743731,16.0,13.0,360.0,544.0,315.0,170.0,922.0,8861.0,-2.30429989,0.836,Train,57
2016,62448.0,440.0,0.70958586,16.0,13.0,363.0,608.0,269.0,143.0,651.0,8599.0,-2.956776887,1.41,Train,57
2017,62973.0,525.0,0.840699462,16.0,13.0,362.0,605.0,269.0,147.0,778.0,8367.0,-2.697988138,2.303,Train,57
2018,62918.0,-55.0,-0.087339018,15.0,13.0,301.0,662.0,244.0,177.0,300.0,8094.0,-3.262818214,2.922,Train,57
2019,62415.0,-503.0,-0.799453257,14.0,13.0,261.0,642.0,272.0,139.0,-204.0,7755.0,-4.18828762,2.856,Train,57
2020,62377.0,-38.0,-0.060882801,14.0,13.0,265.0,654.0,202.0,195.0,349.0,7395.0,-4.642166344,2.579,Predict,57
2013,990571.0,20655.0,2.129565859,154.0,81.0,7566.0,4085.0,5455.0,2052.0,16836.0,207475.0,-1.685526366,0.332,Train,58
2014,1006154.0,15583.0,1.573133072,161.0,81.0,7771.0,4102.0,5325.0,2132.0,11820.0,202320.0,-2.484636703,0.957,Train,58
2015,1027546.0,21392.0,2.126115883,167.0,82.0,8131.0,4383.0,5361.0,1949.0,16746.0,197428.0,-2.41795176,1.679,Train,58
2016,1039684.0,12138.0,1.181260985,174.0,83.0,7507.0,4495.0,4932.0,1999.0,8188.0,191441.0,-3.032497923,2.253,Train,58
2017,1041983.0,2299.0,0.22112488,175.0,83.0,6681.0,4572.0,4730.0,1964.0,-120.0,185016.0,-3.356125386,3.619,Train,58
2018,1044189.0,2206.0,0.211711707,175.0,83.0,5816.0,4755.0,4317.0,2047.0,869.0,179432.0,-3.018117352,5.219,Predict,58
2014,1006154.0,15583.0,1.573133072,161.0,81.0,7771.0,4102.0,5325.0,2132.0,11820.0,202320.0,-2.484636703,0.957,Train,59
2015,1027546.0,21392.0,2.126115883,167.0,82.0,8131.0,4383.0,5361.0,1949.0,16746.0,197428.0,-2.41795176,1.679,Train,59
2016,1039684.0,12138.0,1.181260985,174.0,83.0,7507.0,4495.0,4932.0,1999.0,8188.0,191441.0,-3.032497923,2.253,Train,59
2017,1041983.0,2299.0,0.22112488,175.0,83.0,6681.0,4572.0,4730.0,1964.0,-120.0,185016.0,-3.356125386,3.619,Train,59
2018,1044189.0,2206.0,0.211711707,175.0,83.0,5816.0,4755.0,4317.0,2047.0,869.0,179432.0,-3.018117352,5.219,Train,59
2019,1066351.0,22162.0,2.122412705,171.0,84.0,5538.0,4857.0,4440.0,1889.0,21089.0,175834.0,-2.005216461,4.167,Predict,59
2015,1027546.0,21392.0,2.126115883,167.0,82.0,8131.0,4383.0,5361.0,1949.0,16746.0,197428.0,-2.41795176,1.679,Train,60
2016,1039684.0,12138.0,1.181260985,174.0,83.0,7507.0,4495.0,4932.0,1999.0,8188.0,191441.0,-3.032497923,2.253,Train,60
2017,1041983.0,2299.0,0.22112488,175.0,83.0,6681.0,4572.0,4730.0,1964.0,-120.0,185016.0,-3.356125386,3.619,Train,60
2018,1044189.0,2206.0,0.211711707,175.0,83.0,5816.0,4755.0,4317.0,2047.0,869.0,179432.0,-3.018117352,5.219,Train,60
2019,1066351.0,22162.0,2.122412705,171.0,84.0,5538.0,4857.0,4440.0,1889.0,21089.0,175834.0,-2.005216461,4.167,Train,60
2020,1079216.0,12865.0,1.206450784,168.0,87.0,5544.0,5119.0,4188.0,1974.0,12353.0,171588.0,-2.414777574,3.746,Predict,60
2013,70578.0,-490.0,-0.689480498,8.0,4.0,556.0,238.0,383.0,96.0,-816.0,15007.0,-4.353091141,0.826,Train,61
2014,70156.0,-422.0,-0.597920032,8.0,4.0,519.0,249.0,330.0,75.0,-737.0,14435.0,-3.811554608,2.095,Train,61
2015,68946.0,-1210.0,-1.72472775,8.0,4.0,492.0,289.0,385.0,89.0,-1526.0,13522.0,-6.324904745,1.932,Train,61
2016,63778.0,-5168.0,-7.495721289,8.0,4.0,414.0,259.0,266.0,86.0,-5569.0,12246.0,-9.436473894,1.912,Train,61
2017,57527.0,-6251.0,-9.801185362,8.0,4.0,317.0,254.0,207.0,72.0,-6341.0,10823.0,-11.62012086,3.275,Train,61
2018,58142.0,615.0,1.069063222,7.0,4.0,281.0,254.0,232.0,72.0,577.0,10464.0,-3.317010071,5.581,Predict,61
2014,70156.0,-422.0,-0.597920032,8.0,4.0,519.0,249.0,330.0,75.0,-737.0,14435.0,-3.811554608,2.095,Train,62
2015,68946.0,-1210.0,-1.72472775,8.0,4.0,492.0,289.0,385.0,89.0,-1526.0,13522.0,-6.324904745,1.932,Train,62
2016,63778.0,-5168.0,-7.495721289,8.0,4.0,414.0,259.0,266.0,86.0,-5569.0,12246.0,-9.436473894,1.912,Train,62
2017,57527.0,-6251.0,-9.801185362,8.0,4.0,317.0,254.0,207.0,72.0,-6341.0,10823.0,-11.62012086,3.275,Train,62
2018,58142.0,615.0,1.069063222,7.0,4.0,281.0,254.0,232.0,72.0,577.0,10464.0,-3.317010071,5.581,Train,62
2019,58289.0,147.0,0.25282928,7.0,4.0,282.0,244.0,240.0,79.0,106.0,10019.0,-4.252675841,6.316,Predict,62
2015,68946.0,-1210.0,-1.72472775,8.0,4.0,492.0,289.0,385.0,89.0,-1526.0,13522.0,-6.324904745,1.932,Train,63
2016,63778.0,-5168.0,-7.495721289,8.0,4.0,414.0,259.0,266.0,86.0,-5569.0,12246.0,-9.436473894,1.912,Train,63
2017,57527.0,-6251.0,-9.801185362,8.0,4.0,317.0,254.0,207.0,72.0,-6341.0,10823.0,-11.62012086,3.275,Train,63
2018,58142.0,615.0,1.069063222,7.0,4.0,281.0,254.0,232.0,72.0,577.0,10464.0,-3.317010071,5.581,Train,63
2019,58289.0,147.0,0.25282928,7.0,4.0,282.0,244.0,240.0,79.0,106.0,10019.0,-4.252675841,6.316,Train,63
2020,63231.0,4942.0,8.478443617,7.0,4.0,393.0,245.0,311.0,79.0,4789.0,10370.0,3.503343647,6.214,Predict,63
2013,353100.0,-2460.0,-0.691866352,50.0,24.0,3643.0,1330.0,2442.0,694.0,-5055.0,66586.0,-1.792008967,1.103,Train,64
2014,348560.0,-4540.0,-1.285754744,51.0,24.0,3387.0,1363.0,2197.0,679.0,-6732.0,64837.0,-2.626678281,1.141,Train,64
2015,344978.0,-3582.0,-1.027656644,51.0,24.0,3364.0,1373.0,2111.0,606.0,-5798.0,62749.0,-3.220383423,2.107,Train,64
2016,339484.0,-5494.0,-1.592565323,51.0,24.0,2905.0,1413.0,1897.0,644.0,-7253.0,60608.0,-3.412006566,2.263,Train,64
2017,332790.0,-6694.0,-1.97181605,51.0,24.0,2374.0,1407.0,1722.0,621.0,-7700.0,58185.0,-3.99782207,3.562,Train,64
2018,326841.0,-5949.0,-1.787613811,50.0,25.0,2123.0,1427.0,1674.0,622.0,-6808.0,55867.0,-3.983844633,4.959,Predict,64
2014,348560.0,-4540.0,-1.285754744,51.0,24.0,3387.0,1363.0,2197.0,679.0,-6732.0,64837.0,-2.626678281,1.141,Train,65
2015,344978.0,-3582.0,-1.027656644,51.0,24.0,3364.0,1373.0,2111.0,606.0,-5798.0,62749.0,-3.220383423,2.107,Train,65
2016,339484.0,-5494.0,-1.592565323,51.0,24.0,2905.0,1413.0,1897.0,644.0,-7253.0,60608.0,-3.412006566,2.263,Train,65
2017,332790.0,-6694.0,-1.97181605,51.0,24.0,2374.0,1407.0,1722.0,621.0,-7700.0,58185.0,-3.99782207,3.562,Train,65
2018,326841.0,-5949.0,-1.787613811,50.0,25.0,2123.0,1427.0,1674.0,622.0,-6808.0,55867.0,-3.983844633,4.959,Train,65
2019,316552.0,-10289.0,-3.148013866,48.0,25.0,1827.0,1426.0,1489.0,538.0,-10838.0,52743.0,-5.591852077,5.447,Predict,65
2015,344978.0,-3582.0,-1.027656644,51.0,24.0,3364.0,1373.0,2111.0,606.0,-5798.0,62749.0,-3.220383423,2.107,Train,66
2016,339484.0,-5494.0,-1.592565323,51.0,24.0,2905.0,1413.0,1897.0,644.0,-7253.0,60608.0,-3.412006566,2.263,Train,66
2017,332790.0,-6694.0,-1.97181605,51.0,24.0,2374.0,1407.0,1722.0,621.0,-7700.0,58185.0,-3.99782207,3.562,Train,66
2018,326841.0,-5949.0,-1.787613811,50.0,25.0,2123.0,1427.0,1674.0,622.0,-6808.0,55867.0,-3.983844633,4.959,Train,66
2019,316552.0,-10289.0,-3.148013866,48.0,25.0,1827.0,1426.0,1489.0,538.0,-10838.0,52743.0,-5.591852077,5.447,Train,66
2020,298599.0,-17953.0,-5.671422073,44.0,25.0,1667.0,1410.0,1230.0,581.0,-18290.0,49223.0,-6.673871414,5.718,Predict,66
2013,286699.0,11043.0,4.006080042,38.0,25.0,2845.0,1195.0,2000.0,811.0,9268.0,51893.0,1.986950198,1.126,Train,67
2014,298858.0,12159.0,4.241033279,39.0,25.0,3177.0,1159.0,2027.0,818.0,10072.0,52362.0,0.903782784,1.222,Train,67
2015,312579.0,13721.0,4.59114362,39.0,25.0,3253.0,1282.0,2180.0,810.0,11584.0,52931.0,1.086665903,1.377,Train,67
2016,327723.0,15144.0,4.844855221,38.0,25.0,3044.0,1303.0,2162.0,800.0,13152.0,53537.0,1.144886739,2.175,Train,67
2017,345947.0,18224.0,5.560793719,39.0,26.0,2842.0,1403.0,2173.0,881.0,16590.0,55029.0,2.786857687,3.377,Train,67
2018,363782.0,17835.0,5.15541398,41.0,27.0,2827.0,1537.0,2210.0,959.0,16399.0,56568.0,2.796707191,4.345,Predict,67
2014,298858.0,12159.0,4.241033279,39.0,25.0,3177.0,1159.0,2027.0,818.0,10072.0,52362.0,0.903782784,1.222,Train,68
2015,312579.0,13721.0,4.59114362,39.0,25.0,3253.0,1282.0,2180.0,810.0,11584.0,52931.0,1.086665903,1.377,Train,68
2016,327723.0,15144.0,4.844855221,38.0,25.0,3044.0,1303.0,2162.0,800.0,13152.0,53537.0,1.144886739,2.175,Train,68
2017,345947.0,18224.0,5.560793719,39.0,26.0,2842.0,1403.0,2173.0,881.0,16590.0,55029.0,2.786857687,3.377,Train,68
2018,363782.0,17835.0,5.15541398,41.0,27.0,2827.0,1537.0,2210.0,959.0,16399.0,56568.0,2.796707191,4.345,Train,68
2019,372654.0,8872.0,2.438823251,42.0,27.0,2662.0,1598.0,1931.0,1046.0,7658.0,56602.0,0.060104653,3.921,Predict,68
2015,312579.0,13721.0,4.59114362,39.0,25.0,3253.0,1282.0,2180.0,810.0,11584.0,52931.0,1.086665903,1.377,Train,69
2016,327723.0,15144.0,4.844855221,38.0,25.0,3044.0,1303.0,2162.0,800.0,13152.0,53537.0,1.144886739,2.175,Train,69
2017,345947.0,18224.0,5.560793719,39.0,26.0,2842.0,1403.0,2173.0,881.0,16590.0,55029.0,2.786857687,3.377,Train,69
