연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,Type,DataSetID
2018,31219.0,-546.0,-1.718872973,13.0,10.0,133.0,463.0,114.0,84.0,-223.0,3907.0,-4.216719784,3.323,Train,550
2019,30715.0,-504.0,-1.614401486,13.0,10.0,160.0,427.0,120.0,61.0,-242.0,3742.0,-4.223189148,3.307,Predict,550
2015,32476.0,-270.0,-0.824528187,13.0,10.0,206.0,424.0,143.0,56.0,-75.0,4383.0,-2.751275793,2.503,Train,551
2016,32078.0,-398.0,-1.225520384,13.0,10.0,181.0,460.0,125.0,88.0,-122.0,4216.0,-3.810175679,2.743,Train,551
2017,31765.0,-313.0,-0.975746618,13.0,10.0,174.0,458.0,110.0,58.0,-39.0,4079.0,-3.249525617,3.182,Train,551
2018,31219.0,-546.0,-1.718872973,13.0,10.0,133.0,463.0,114.0,84.0,-223.0,3907.0,-4.216719784,3.323,Train,551
2019,30715.0,-504.0,-1.614401486,13.0,10.0,160.0,427.0,120.0,61.0,-242.0,3742.0,-4.223189148,3.307,Train,551
2020,31227.0,512.0,1.666937978,14.0,10.0,110.0,393.0,91.0,72.0,782.0,3719.0,-0.614644575,2.489,Predict,551
2013,35610.0,-170.0,-0.475125769,12.0,11.0,237.0,468.0,147.0,71.0,60.0,4667.0,-3.614209005,0.548,Train,552
2014,35090.0,-520.0,-1.460263971,12.0,11.0,249.0,421.0,132.0,78.0,-351.0,4448.0,-4.692521963,1.617,Train,552
2015,34876.0,-214.0,-0.609860359,12.0,11.0,202.0,469.0,106.0,72.0,23.0,4347.0,-2.270683453,2.29,Train,552
2016,34397.0,-479.0,-1.373437321,12.0,11.0,205.0,483.0,116.0,60.0,-227.0,4107.0,-5.521048999,2.01,Train,552
2017,34328.0,-69.0,-0.200598889,12.0,11.0,160.0,442.0,96.0,61.0,213.0,3962.0,-3.530557585,3.588,Train,552
2018,33420.0,-908.0,-2.645071079,12.0,11.0,146.0,492.0,120.0,62.0,-584.0,3761.0,-5.073195356,3.602,Predict,552
2014,35090.0,-520.0,-1.460263971,12.0,11.0,249.0,421.0,132.0,78.0,-351.0,4448.0,-4.692521963,1.617,Train,553
2015,34876.0,-214.0,-0.609860359,12.0,11.0,202.0,469.0,106.0,72.0,23.0,4347.0,-2.270683453,2.29,Train,553
2016,34397.0,-479.0,-1.373437321,12.0,11.0,205.0,483.0,116.0,60.0,-227.0,4107.0,-5.521048999,2.01,Train,553
2017,34328.0,-69.0,-0.200598889,12.0,11.0,160.0,442.0,96.0,61.0,213.0,3962.0,-3.530557585,3.588,Train,553
2018,33420.0,-908.0,-2.645071079,12.0,11.0,146.0,492.0,120.0,62.0,-584.0,3761.0,-5.073195356,3.602,Train,553
2019,32861.0,-559.0,-1.672651107,12.0,11.0,123.0,431.0,97.0,66.0,-249.0,3514.0,-6.567402287,3.509,Predict,553
2015,34876.0,-214.0,-0.609860359,12.0,11.0,202.0,469.0,106.0,72.0,23.0,4347.0,-2.270683453,2.29,Train,554
2016,34397.0,-479.0,-1.373437321,12.0,11.0,205.0,483.0,116.0,60.0,-227.0,4107.0,-5.521048999,2.01,Train,554
2017,34328.0,-69.0,-0.200598889,12.0,11.0,160.0,442.0,96.0,61.0,213.0,3962.0,-3.530557585,3.588,Train,554
2018,33420.0,-908.0,-2.645071079,12.0,11.0,146.0,492.0,120.0,62.0,-584.0,3761.0,-5.073195356,3.602,Train,554
2019,32861.0,-559.0,-1.672651107,12.0,11.0,123.0,431.0,97.0,66.0,-249.0,3514.0,-6.567402287,3.509,Train,554
2020,32050.0,-811.0,-2.467971151,11.0,11.0,132.0,494.0,82.0,59.0,-453.0,3271.0,-6.915196357,3.395,Predict,554
2013,77684.0,-466.0,-0.596289187,25.0,22.0,808.0,891.0,344.0,156.0,-408.0,11621.0,-3.247023562,0.948,Train,555
2014,76981.0,-703.0,-0.904948252,23.0,20.0,835.0,916.0,315.0,163.0,-625.0,11136.0,-4.173479047,1.294,Train,555
2015,76194.0,-787.0,-1.022330185,23.0,21.0,839.0,895.0,298.0,155.0,-753.0,10623.0,-4.606681034,1.803,Train,555
2016,75121.0,-1073.0,-1.408247369,24.0,21.0,786.0,884.0,251.0,147.0,-997.0,10277.0,-3.257083686,2.299,Train,555
2017,73604.0,-1517.0,-2.019408687,24.0,21.0,640.0,893.0,275.0,149.0,-1278.0,9790.0,-4.738736986,2.943,Train,555
2018,71901.0,-1703.0,-2.313732949,22.0,20.0,533.0,936.0,284.0,179.0,-1303.0,9377.0,-4.218590398,3.237,Predict,555
2014,76981.0,-703.0,-0.904948252,23.0,20.0,835.0,916.0,315.0,163.0,-625.0,11136.0,-4.173479047,1.294,Train,556
2015,76194.0,-787.0,-1.022330185,23.0,21.0,839.0,895.0,298.0,155.0,-753.0,10623.0,-4.606681034,1.803,Train,556
2016,75121.0,-1073.0,-1.408247369,24.0,21.0,786.0,884.0,251.0,147.0,-997.0,10277.0,-3.257083686,2.299,Train,556
2017,73604.0,-1517.0,-2.019408687,24.0,21.0,640.0,893.0,275.0,149.0,-1278.0,9790.0,-4.738736986,2.943,Train,556
2018,71901.0,-1703.0,-2.313732949,22.0,20.0,533.0,936.0,284.0,179.0,-1303.0,9377.0,-4.218590398,3.237,Train,556
2019,70354.0,-1547.0,-2.151569519,21.0,20.0,490.0,967.0,263.0,157.0,-1086.0,8807.0,-6.07870321,3.132,Predict,556
2015,76194.0,-787.0,-1.022330185,23.0,21.0,839.0,895.0,298.0,155.0,-753.0,10623.0,-4.606681034,1.803,Train,557
