행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률
부산광역시,사상구,2013,246797.0,-3627.0,-1.448343609,30.0,21.0,2040.0,1318.0,1600.0,546.0,-4446.0,40926.0,-5.74823822,0.957
부산광역시,기장군,2013,132507.0,17941.0,15.65996893,27.0,17.0,1503.0,754.0,964.0,298.0,17167.0,22760.0,13.39743909,2.183
대구광역시,중구,2013,76246.0,807.0,61.04340479,12.0,10.0,504.0,552.0,428.0,185.0,834.0,10216.0,-1.636818795,0.694
대구광역시,서구,2013,215399.0,-4812.0,81.33823864,23.0,17.0,1390.0,1341.0,1295.0,527.0,-4884.0,33552.0,-6.688544651,1.347
대구광역시,북구,2013,444359.0,-4126.0,43.47166302,73.0,38.0,3798.0,2027.0,2371.0,814.0,-5985.0,92261.0,-3.132972859,1.697
대구광역시,수성구,2013,461004.0,1225.0,0.266432351,55.0,34.0,2634.0,2015.0,2013.0,705.0,522.0,106279.0,-2.579450561,1.552
대구광역시,달서구,2013,610358.0,3801.0,0.626651741,85.0,53.0,5097.0,2494.0,3391.0,1090.0,1075.0,127580.0,-2.708720983,1.551
대구광역시,달성군,2013,184358.0,-8.0,-0.004339195,44.0,25.0,1922.0,979.0,1077.0,383.0,-1006.0,35502.0,-2.485785701,2.61
인천광역시,중구,2013,107774.0,9126.0,41.35036592,14.0,12.0,935.0,578.0,774.0,329.0,8692.0,17730.0,10.17212453,-0.225
인천광역시,동구,2013,75093.0,-1627.0,-78.15806773,12.0,8.0,648.0,484.0,456.0,191.0,-1820.0,11734.0,-4.282567909,0.51
인천광역시,남구,2013,411330.0,-3170.0,147.6966434,45.0,22.0,3400.0,2222.0,2733.0,1173.0,-4505.0,67799.0,-3.565840753,0.743
인천광역시,연수구,2013,300305.0,7716.0,2.637146304,37.0,23.0,2496.0,1103.0,1600.0,648.0,6170.0,65716.0,-1.306580963,1.338
인천광역시,남동구,2013,507021.0,3424.0,0.679908737,76.0,37.0,4699.0,2155.0,3115.0,1294.0,569.0,97367.0,-1.919958095,1.1
인천광역시,부평구,2013,556985.0,-2062.0,-0.368841976,72.0,42.0,4874.0,2468.0,3564.0,1299.0,-4626.0,103970.0,-4.209546799,0.369
인천광역시,계양구,2013,343806.0,1604.0,0.468728996,41.0,26.0,2997.0,1303.0,2185.0,941.0,-224.0,69424.0,-4.278406662,1.182
인천광역시,서구,2013,490035.0,20148.0,127.5010562,82.0,42.0,5122.0,1795.0,3206.0,1177.0,16614.0,101837.0,1.090948798,1.575
인천광역시,강화군,2013,66735.0,-17.0,-0.025467402,21.0,22.0,267.0,735.0,239.0,148.0,443.0,9036.0,-3.533682075,-0.163
인천광역시,옹진군,2013,20698.0,659.0,3.288587255,11.0,6.0,122.0,196.0,138.0,53.0,722.0,2450.0,0.409836066,-0.163
광주광역시,동구,2013,103016.0,-2564.0,37.18455781,16.0,11.0,820.0,754.0,578.0,218.0,-2663.0,16029.0,-5.472666156,0.627
광주광역시,서구,2013,315276.0,-1269.0,-35.66255472,59.0,29.0,2606.0,1363.0,1845.0,562.0,-2547.0,71240.0,-2.795781086,0.63
광주광역시,남구,2013,216254.0,-2059.0,-47.42566796,42.0,21.0,1458.0,1234.0,1094.0,379.0,-2346.0,44901.0,-3.734751195,0.837
광주광역시,북구,2013,445489.0,1812.0,0.254298889,98.0,44.0,3489.0,2095.0,2775.0,888.0,301.0,94228.0,-2.613764379,0.971
광주광역시,광산구,2013,392875.0,7774.0,2.0186912,80.0,44.0,4356.0,1445.0,2528.0,877.0,4663.0,97436.0,0.709043928,0.644
대전광역시,동구,2013,250653.0,-1292.0,143.3146307,38.0,23.0,2260.0,1480.0,1640.0,564.0,-2138.0,43848.0,-1.941139637,0.442
대전광역시,중구,2013,264913.0,788.0,145.8041828,41.0,27.0,2081.0,1403.0,1485.0,566.0,3.0,49582.0,-1.879996834,0.653
대전광역시,서구,2013,498917.0,2404.0,58.24769408,77.0,37.0,4504.0,1822.0,3162.0,974.0,-412.0,106919.0,-2.607008499,1.188
대전광역시,유성구,2013,313968.0,7656.0,2.499412364,71.0,36.0,3464.0,983.0,2068.0,457.0,5064.0,70273.0,0.379962004,1.348
대전광역시,대덕구,2013,204360.0,-1328.0,-0.645638054,33.0,20.0,1790.0,946.0,1266.0,442.0,-2206.0,41775.0,-3.670994074,0.613
울산광역시,중구,2013,234607.0,1594.0,-11.43998218,34.0,20.0,1823.0,1073.0,1475.0,570.0,777.0,45694.0,-3.645910212,1.439
울산광역시,남구,2013,349064.0,2228.0,61.41389292,47.0,30.0,3107.0,1266.0,2378.0,717.0,226.0,72987.0,-3.101310357,1.482
울산광역시,동구,2013,178468.0,2989.0,-28.79877759,26.0,16.0,2221.0,701.0,1641.0,414.0,1389.0,32302.0,-2.30462134,1.276
울산광역시,북구,2013,185695.0,1607.0,-58.31659143,34.0,19.0,2145.0,679.0,1229.0,381.0,93.0,42547.0,-1.729951959,1.489
